timestep,location,flow,occupy,speed
1,0,39.0,1,1
1,1,61.0,1,1
1,2,66.0,1,1
1,3,8.0,1,1
1,4,14.0,1,1
1,5,31.0,1,1
1,6,0.0,1,1
1,7,51.0,1,1
1,8,7.0,1,1
1,9,0.0,1,1
1,10,7.0,1,1
1,11,36.0,1,1
1,12,4.0,1,1
1,13,4.0,1,1
1,14,4.0,1,1
1,15,24.0,1,1
1,16,3.0,1,1
1,17,52.0,1,1
1,18,71.0,1,1
1,19,16.0,1,1
1,20,21.0,1,1
1,21,25.0,1,1
1,22,4.0,1,1
1,23,14.0,1,1
1,24,2.0,1,1
1,25,6.0,1,1
1,26,8.0,1,1
1,27,0.0,1,1
1,28,17.0,1,1
1,29,11.0,1,1
1,30,3.0,1,1
1,31,7.0,1,1
1,32,7.0,1,1
1,33,8.0,1,1
2,0,40.0,1,1
2,1,39.0,1,1
2,2,51.0,1,1
2,3,9.0,1,1
2,4,8.0,1,1
2,5,36.0,1,1
2,6,0.0,1,1
2,7,63.0,1,1
2,8,6.0,1,1
2,9,0.0,1,1
2,10,2.0,1,1
2,11,36.0,1,1
2,12,7.0,1,1
2,13,0.0,1,1
2,14,11.0,1,1
2,15,21.0,1,1
2,16,0.0,1,1
2,17,40.0,1,1
2,18,61.0,1,1
2,19,12.0,1,1
2,20,17.0,1,1
2,21,25.0,1,1
2,22,5.0,1,1
2,23,27.0,1,1
2,24,2.0,1,1
2,25,3.0,1,1
2,26,9.0,1,1
2,27,0.0,1,1
2,28,12.0,1,1
2,29,12.0,1,1
2,30,3.0,1,1
2,31,2.0,1,1
2,32,5.0,1,1
2,33,4.0,1,1
3,0,24.0,1,1
3,1,36.0,1,1
3,2,32.0,1,1
3,3,20.0,1,1
3,4,13.0,1,1
3,5,26.0,1,1
3,6,0.0,1,1
3,7,41.0,1,1
3,8,8.0,1,1
3,9,0.0,1,1
3,10,6.0,1,1
3,11,31.0,1,1
3,12,0.0,1,1
3,13,0.0,1,1
3,14,5.0,1,1
3,15,15.0,1,1
3,16,0.0,1,1
3,17,39.0,1,1
3,18,43.0,1,1
3,19,7.0,1,1
3,20,6.0,1,1
3,21,19.0,1,1
3,22,4.0,1,1
3,23,22.0,1,1
3,24,2.0,1,1
3,25,7.0,1,1
3,26,4.0,1,1
3,27,0.0,1,1
3,28,7.0,1,1
3,29,7.0,1,1
3,30,8.0,1,1
3,31,3.0,1,1
3,32,10.0,1,1
3,33,3.0,1,1
4,0,29.0,1,1
4,1,32.0,1,1
4,2,27.0,1,1
4,3,6.0,1,1
4,4,7.0,1,1
4,5,20.0,1,1
4,6,0.0,1,1
4,7,23.0,1,1
4,8,4.0,1,1
4,9,0.0,1,1
4,10,6.0,1,1
4,11,15.0,1,1
4,12,10.0,1,1
4,13,3.0,1,1
4,14,1.0,1,1
4,15,20.0,1,1
4,16,0.0,1,1
4,17,31.0,1,1
4,18,29.0,1,1
4,19,9.0,1,1
4,20,5.0,1,1
4,21,15.0,1,1
4,22,1.0,1,1
4,23,23.0,1,1
4,24,0.0,1,1
4,25,0.0,1,1
4,26,4.0,1,1
4,27,0.0,1,1
4,28,4.0,1,1
4,29,4.0,1,1
4,30,3.0,1,1
4,31,4.0,1,1
4,32,2.0,1,1
4,33,2.0,1,1
5,0,26.0,1,1
5,1,21.0,1,1
5,2,23.0,1,1
5,3,2.0,1,1
5,4,4.0,1,1
5,5,18.0,1,1
5,6,0.0,1,1
5,7,35.0,1,1
5,8,7.0,1,1
5,9,0.0,1,1
5,10,2.0,1,1
5,11,17.0,1,1
5,12,0.0,1,1
5,13,3.0,1,1
5,14,3.0,1,1
5,15,21.0,1,1
5,16,1.0,1,1
5,17,24.0,1,1
5,18,28.0,1,1
5,19,9.0,1,1
5,20,9.0,1,1
5,21,11.0,1,1
5,22,5.0,1,1
5,23,7.0,1,1
5,24,0.0,1,1
5,25,0.0,1,1
5,26,4.0,1,1
5,27,0.0,1,1
5,28,8.0,1,1
5,29,4.0,1,1
5,30,4.0,1,1
5,31,0.0,1,1
5,32,3.0,1,1
5,33,0.0,1,1
6,0,25.0,1,1
6,1,17.0,1,1
6,2,15.0,1,1
6,3,2.0,1,1
6,4,3.0,1,1
6,5,13.0,1,1
6,6,0.0,1,1
6,7,18.0,1,1
6,8,4.0,1,1
6,9,0.0,1,1
6,10,0.0,1,1
6,11,11.0,1,1
6,12,2.0,1,1
6,13,1.0,1,1
6,14,2.0,1,1
6,15,19.0,1,1
6,16,1.0,1,1
6,17,22.0,1,1
6,18,26.0,1,1
6,19,6.0,1,1
6,20,6.0,1,1
6,21,8.0,1,1
6,22,4.0,1,1
6,23,17.0,1,1
6,24,0.0,1,1
6,25,2.0,1,1
6,26,5.0,1,1
6,27,0.0,1,1
6,28,5.0,1,1
6,29,1.0,1,1
6,30,7.0,1,1
6,31,1.0,1,1
6,32,6.0,1,1
6,33,2.0,1,1
7,0,22.0,1,1
7,1,28.0,1,1
7,2,19.0,1,1
7,3,4.0,1,1
7,4,3.0,1,1
7,5,17.0,1,1
7,6,0.0,1,1
7,7,27.0,1,1
7,8,4.0,1,1
7,9,0.0,1,1
7,10,2.0,1,1
7,11,16.0,1,1
7,12,1.0,1,1
7,13,0.0,1,1
7,14,1.0,1,1
7,15,16.0,1,1
7,16,0.0,1,1
7,17,19.0,1,1
7,18,12.0,1,1
7,19,3.0,1,1
7,20,7.0,1,1
7,21,5.0,1,1
7,22,2.0,1,1
7,23,11.0,1,1
7,24,0.0,1,1
7,25,5.0,1,1
7,26,1.0,1,1
7,27,0.0,1,1
7,28,3.0,1,1
7,29,2.0,1,1
7,30,4.0,1,1
7,31,1.0,1,1
7,32,4.0,1,1
7,33,1.0,1,1
8,0,18.0,1,1
8,1,10.0,1,1
8,2,17.0,1,1
8,3,5.0,1,1
8,4,9.0,1,1
8,5,5.0,1,1
8,6,0.0,1,1
8,7,22.0,1,1
8,8,4.0,1,1
8,9,0.0,1,1
8,10,0.0,1,1
8,11,13.0,1,1
8,12,8.0,1,1
8,13,1.0,1,1
8,14,2.0,1,1
8,15,5.0,1,1
8,16,1.0,1,1
8,17,8.0,1,1
8,18,20.0,1,1
8,19,4.0,1,1
8,20,1.0,1,1
8,21,3.0,1,1
8,22,1.0,1,1
8,23,5.0,1,1
8,24,1.0,1,1
8,25,0.0,1,1
8,26,1.0,1,1
8,27,0.0,1,1
8,28,8.0,1,1
8,29,3.0,1,1
8,30,2.0,1,1
8,31,1.0,1,1
8,32,2.0,1,1
8,33,0.0,1,1
9,0,19.0,1,1
9,1,14.0,1,1
9,2,13.0,1,1
9,3,2.0,1,1
9,4,3.0,1,1
9,5,10.0,1,1
9,6,0.0,1,1
9,7,27.0,1,1
9,8,4.0,1,1
9,9,0.0,1,1
9,10,1.0,1,1
9,11,12.0,1,1
9,12,4.0,1,1
9,13,3.0,1,1
9,14,2.0,1,1
9,15,16.0,1,1
9,16,1.0,1,1
9,17,11.0,1,1
9,18,19.0,1,1
9,19,5.0,1,1
9,20,1.0,1,1
9,21,6.0,1,1
9,22,1.0,1,1
9,23,4.0,1,1
9,24,0.0,1,1
9,25,2.0,1,1
9,26,3.0,1,1
9,27,0.0,1,1
9,28,2.0,1,1
9,29,0.0,1,1
9,30,3.0,1,1
9,31,1.0,1,1
9,32,1.0,1,1
9,33,2.0,1,1
10,0,7.0,1,1
10,1,21.0,1,1
10,2,9.0,1,1
10,3,3.0,1,1
10,4,3.0,1,1
10,5,18.0,1,1
10,6,0.0,1,1
10,7,10.0,1,1
10,8,2.0,1,1
10,9,0.0,1,1
10,10,3.0,1,1
10,11,10.0,1,1
10,12,5.0,1,1
10,13,1.0,1,1
10,14,8.0,1,1
10,15,9.0,1,1
10,16,0.0,1,1
10,17,9.0,1,1
10,18,18.0,1,1
10,19,2.0,1,1
10,20,2.0,1,1
10,21,10.0,1,1
10,22,4.0,1,1
10,23,6.0,1,1
10,24,0.0,1,1
10,25,4.0,1,1
10,26,7.0,1,1
10,27,0.0,1,1
10,28,5.0,1,1
10,29,0.0,1,1
10,30,1.0,1,1
10,31,0.0,1,1
10,32,4.0,1,1
10,33,3.0,1,1
11,0,8.0,1,1
11,1,13.0,1,1
11,2,3.0,1,1
11,3,2.0,1,1
11,4,1.0,1,1
11,5,11.0,1,1
11,6,0.0,1,1
11,7,7.0,1,1
11,8,3.0,1,1
11,9,0.0,1,1
11,10,1.0,1,1
11,11,6.0,1,1
11,12,2.0,1,1
11,13,0.0,1,1
11,14,0.0,1,1
11,15,12.0,1,1
11,16,1.0,1,1
11,17,16.0,1,1
11,18,14.0,1,1
11,19,2.0,1,1
11,20,2.0,1,1
11,21,7.0,1,1
11,22,1.0,1,1
11,23,9.0,1,1
11,24,0.0,1,1
11,25,1.0,1,1
11,26,1.0,1,1
11,27,0.0,1,1
11,28,4.0,1,1
11,29,0.0,1,1
11,30,1.0,1,1
11,31,0.0,1,1
11,32,1.0,1,1
11,33,0.0,1,1
12,0,9.0,1,1
12,1,8.0,1,1
12,2,6.0,1,1
12,3,0.0,1,1
12,4,5.0,1,1
12,5,8.0,1,1
12,6,0.0,1,1
12,7,5.0,1,1
12,8,4.0,1,1
12,9,0.0,1,1
12,10,0.0,1,1
12,11,0.0,1,1
12,12,2.0,1,1
12,13,0.0,1,1
12,14,2.0,1,1
12,15,11.0,1,1
12,16,0.0,1,1
12,17,11.0,1,1
12,18,7.0,1,1
12,19,1.0,1,1
12,20,1.0,1,1
12,21,2.0,1,1
12,22,0.0,1,1
12,23,2.0,1,1
12,24,0.0,1,1
12,25,3.0,1,1
12,26,3.0,1,1
12,27,0.0,1,1
12,28,2.0,1,1
12,29,1.0,1,1
12,30,1.0,1,1
12,31,0.0,1,1
12,32,1.0,1,1
12,33,0.0,1,1
