from,to,cost
0,1, 0.100
0,2, 0.150
0,3, 0.100
0,4, 0.650
0,5, 0.700
0,6, 1.100
0,7, 0.450
0,8, 1.700
0,9, 1.900
0,10,0.900
0,11, 1.000
0,12, 1.500
0,13, 2.400
0,14, 1.800
0,15, 1.500
0,16, 3.300
0,17, 3.200
0,18, 2.500
0,19, 3.800
0,20,4.500
0,21, 2.900
0,22, 3.000
0,23, 3.900
0,24, 3.700
0,25, 3.800
0,26, 4.400
0,27, 4.300
0,28, 4.300
0,29, 4.300
0,30, 4.700
0,31, 4.700
0,32, 4.600
0,33, 4.700
1,0, 0.100
1,2, 0.130
1,3, 0.140
1,4, 0.750
1,5, 0.650
1,6, 1.100
1,7, 0.500
1,8, 1.600
1,9, 2.000
1,10, 0.950
1,11, 1.000
1,12, 1.600
1,13, 2.400
1,14,1.900
1,15, 1.600
1,16,3.300
1,17,3.200
1,18,2.600
1,19,3.700
1,20,4.600
1,21,2.900
1,22,3.000
1,23,3.900
1,24,3.800
1,25,3.800
1,26,4.500
1,27,4.300
1,28,4.300
1,29,4.300
1,30,4.700
1,31,4.700
1,32,4.700
1,33,4.700
2,0,0.150
2,1,0.130
2,3,0.150
2,4,0.600
2,5,0.700
2,6,1.000
2,7,0.400
2,8,1.000
2,9,1.900
2,10,0.850
2,11,0.950
2,12,2.200
2,13,2.300
2,14,1.800
2,15,1.500
2,16,3.300
2,17,3.200
2,18,2.500
2,19,3.800
2,20,4.400
2,21,2.800
2,22,3.000
2,23,3.900
2,24,3.700
2,25,3.800
2,26,4.400
2,27,4.200
2,28,4.200
2,29,4.200
2,30,4.600
2,31,4.600
2,32,4.600
2,33,4.600
3,0,0.100
3,1,0.140
3,2,0.150
3,4,0.650
3,5,0.750
3,6,1.100
3,7,0.450
3,8,1.700
3,9,1.900
3,10,0.900
3,11,1.000
3,12,2.300
3,13,2.400
3,14,1.900
3,15,1.500
3,16,3.300
3,17,3.200
3,18,2.500
3,19,3.800
3,20,4.500
3,21,2.900
3,22,3.000
3,23,3.900
3,24,3.700
3,25,3.900
3,26,4.400
3,27,4.300
3,28,4.300
3,29,4.300
3,30,4.700
3,31,4.700
3,32,4.600
3,33,4.700
4,0,0.650
4,1,0.750
4,2,0.600
4,3,0.650
4,5,0.051
4,6,0.098
4,7,0.110
4,8,0.500
4,9,1.400
4,10,0.400
4,11,0.550
4,12,1.100
4,13,1.900
4,14,1.400
4,15,1.100
4,16,2.800
4,17,2.700
4,18,2.000
4,19,3.600
4,20,3.900
4,21,2.400
4,22,2.500
4,23,3.400
4,24,3.200
4,25,3.300
4,26,4.000
4,27,3.800
4,28,3.800
4,29,3.800
4,30,4.200
4,31,4.200
4,32,4.200
4,33,4.200
5,0,0.700
5,1,0.650
5,2,0.700
5,3,0.750
5,4,0.051
5,6,0.092
5,7,0.130
5,8,0.450
5,9,1.500
5,10,0.450
5,11,0.500
5,12,1.300
5,13,2.100
5,14,1.400
5,15,1.100
5,16,3.300
5,17,2.700
5,18,2.100
5,19,3.900
5,20,4.500
5,21,2.400
5,22,2.600
5,23,3.900
5,24,3.700
5,25,3.800
5,26,4.400
5,27,4.300
5,28,4.200
5,29,4.300
5,30,4.700
5,31,4.700
5,32,4.600
5,33,4.700
6,0,1.100
6,1,1.100
6,2,1.000
6,3,1.100
6,4,0.098
6,5,0.092
6,7,0.140
6,8,0.500
6,9,1.400
6,10,0.450
6,11,0.550
6,12,1.100
6,13,1.900
6,14,1.300
6,15,1.100
6,16,2.800
6,17,2.700
6,18,2.000
6,19,3.600
6,20,3.900
6,21,2.400
6,22,2.500
6,23,3.400
6,24,3.200
6,25,3.300
6,26,3.900
6,27,3.800
6,28,3.800
6,29,3.800
6,30,4.200
6,31,4.200
6,32,4.200
6,33,4.200
7,0,0.450
7,1,0.500
7,2,0.400
7,3,0.450
7,4,0.110
7,5,0.130
7,6,0.140
7,8,0.550
7,9,1.500
7,10,0.450
7,11,0.550
7,12,1.100
7,13,1.900
7,14,1.400
7,15,1.100
7,16,2.900
7,17,2.800
7,18,2.100
7,19,3.600
7,20,4.000
7,21,2.400
7,22,2.600
7,23,3.500
7,24,3.300
7,25,3.400
7,26,4.000
7,27,3.800
7,28,3.800
7,29,3.800
7,30,4.200
7,31,4.200
7,32,4.200
7,33,4.200
8,0,1.700
8,1,1.600
8,2,1.000
8,3,1.700
8,4,0.500
8,5,0.450
8,6,0.500
8,7,0.550
8,9,0.080
8,10,0.045
8,11,0.047
8,12,0.700
8,13,1.500
8,14,1.000
8,15,0.650
8,16,2.400
8,17,2.300
8,18,1.700
8,19,3.200
8,20,3.500
8,21,2.000
8,22,2.200
8,23,3.000
8,24,2.900
8,25,2.900
8,26,3.600
8,27,3.400
8,28,3.400
8,29,3.400
8,30,3.800
8,31,3.800
8,32,3.800
8,33,3.800
9,0,1.900
9,1,2.000
9,2,1.900
9,3,1.900
9,4,1.400
9,5,1.500
9,6,1.400
9,7,1.500
9,8,0.080
9,10,0.083
9,11,0.085
9,12,0.650
9,13,1.500
9,14,1.100
9,15,0.700
9,16,2.500
9,17,2.400
