from,to,cost
0,1,0.099
0,2,0.082
0,3,0.09
0,4,1.2
0,5,1.2
0,6,1.2
0,7,1.1
0,8,1.6
0,9,2.2
0,10,1.5
0,11,2.6
0,12,3.3
0,13,3.2
0,14,2.7
0,15,2.2
0,16,3.1
0,17,2.8
0,18,2.2
0,19,2.8
0,20,4.1
0,21,3.8
0,22,3.2
0,23,3.1
0,24,1.9
0,25,2.5
0,26,9.4
1,0,0.099
1,2,0.078
1,3,0.08
1,4,1.1
1,5,1.1
1,6,1.1
1,7,1.0
1,8,1.5
1,9,2.1
1,10,1.4
1,11,2.5
1,12,3.2
1,13,3.1
1,14,2.6
1,15,2.1
1,16,3.0
1,17,2.7
1,18,3.2
1,19,2.7
1,20,4.0
1,21,3.7
1,22,3.1
1,23,3.1
1,24,2.0
1,25,2.7
1,26,9.4
2,0,0.082
2,1,0.078
2,3,0.077
2,4,1.2
2,5,1.1
2,6,1.1
2,7,1.0
2,8,1.5
2,9,2.2
2,10,1.4
2,11,2.5
2,12,3.2
2,13,3.1
2,14,2.6
2,15,2.2
2,16,3.0
2,17,2.7
2,18,2.3
2,19,2.8
2,20,4.0
2,21,3.7
2,22,3.2
2,23,3.2
2,24,2.0
2,25,2.6
2,26,9.5
3,0,0.09
3,10,8.0
3,2,0.077
3,4,1.2
3,5,1.2
3,6,1.1
3,7,1.1
3,8,1.5
3,9,2.2
3,10,1.4
3,11,2.6
3,12,3.3
3,13,3.1
3,14,2.6
3,15,2.2
3,16,3.1
3,17,2.8
3,18,3.3
3,19,2.8
3,20,4.1
3,21,3.8
3,22,3.2
3,23,3.1
3,24,1.9
3,25,3.2
3,26,9.4
4,0,1.2
4,1,1.1
4,2,1.2
4,3,1.2
4,5,0.11
4,6,0.086
4,7,0.084
4,8,2.7
4,9,1.2
4,10,0.45
4,11,1.5
4,12,2.2
4,13,2.1
4,14,1.6
4,15,1.2
4,16,2.0
4,17,1.8
4,18,2.3
4,19,1.8
4,20,3.1
4,21,2.8
4,22,2.2
4,23,4.2
4,24,3.0
4,25,3.6
4,26,10.5
5,0,1.2
5,1,1.1
5,2,1.1
5,3,1.2
5,4,0.11
5,6,0.096
5,7,0.19
5,8,0.35
5,9,1.0
5,10,0.27
5,11,1.4
5,12,2.1
5,13,2.0
5,14,1.5
5,15,2.0
5,16,1.9
5,17,2.5
5,18,3.0
5,19,1.6
5,20,2.9
5,21,2.6
5,22,2.0
5,23,4.8
5,24,3.6
5,25,4.2
5,26,11.1
6,0,1.2
6,1,1.1
6,2,1.1
6,3,1.1
6,4,0.086
6,5,0.096
6,7,0.11
6,8,2.7
6,9,1.1
6,10,0.35
6,11,1.5
6,12,2.2
6,13,2.0
6,14,1.5
6,15,1.3
6,16,1.9
6,17,2.5
6,18,2.3
6,19,1.7
6,20,3.0
6,21,2.7
6,22,2.1
6,23,4.3
6,24,3.1
6,25,3.7
6,26,10.6
7,0,1.1
7,1,1.0
7,2,1.0
7,3,1.1
7,4,0.084
7,5,0.19
7,6,0.11
7,8,0.45
7,9,1.5
7,10,0.35
7,11,2.8
7,12,2.7
7,13,4.2
7,14,2.9
7,15,3.3
7,16,3.3
7,17,3.8
7,18,3.2
7,19,2.3
7,20,3.0
7,21,4.0
7,22,3.4
7,23,4.1
7,24,3.0
7,25,3.5
7,26,10.4
8,0,1.6
8,1,1.5
8,2,1.5
8,3,1.5
8,4,2.7
8,5,0.35
8,6,2.7
8,7,0.45
8,9,0.062
8,10,0.18
8,11,2.4
8,12,2.3
8,13,2.9
8,14,2.4
8,15,2.9
8,16,2.8
8,17,3.4
8,18,5.3
8,19,1.8
8,20,2.5
8,21,3.6
8,22,3.0
8,23,6.2
8,24,5.0
8,25,5.6
8,26,12.5
9,0,2.2
9,1,2.1
9,2,2.2
9,3,2.2
9,4,1.2
9,5,1.0
9,6,1.1
9,7,1.5
9,8,0.062
9,10,0.13
9,11,1.2
9,12,1.9
9,13,1.8
9,14,1.3
9,15,1.6
9,16,1.7
9,17,2.3
9,18,2.9
9,19,1.5
9,20,2.1
9,21,2.5
9,22,1.9
9,23,4.6
9,24,3.4
9,25,4.0
9,26,10.9
10,0,1.5
10,1,1.4
10,2,1.4
10,3,1.4
10,4,0.45
10,5,0.27
10,6,0.35
10,7,0.35
10,8,0.18
10,9,0.13
10,11,1.7
10,12,2.4
10,13,2.3
10,14,1.8
10,15,1.5
10,16,2.2
10,17,2.8
10,18,2.6
10,19,1.9
10,20,2.6
10,21,2.9
10,22,2.3
10,23,4.5
10,24,3.3
10,25,3.9
10,26,10.8
11,0,2.6
11,1,2.5
11,2,2.5
11,3,2.6
11,4,1.5
11,5,1.4
11,6,1.5
11,7,2.8
11,8,2.4
11,9,1.2
11,10,1.7
11,12,0.12
11,13,0.18
11,14,0.1
11,15,2.3
11,16,2.2
11,17,2.8
11,18,3.3
11,19,0.85
11,20,2.1
11,21,1.9
11,22,1.0
11,23,5.8
11,24,4.6
11,25,5.2
11,26,12.0
12,0,3.3
12,1,3.2
12,2,3.2
12,3,3.3
12,4,2.2
12,5,2.1
12,6,2.2
12,7,2.7
12,8,2.3
12,9,1.9
12,10,2.4
12,11,0.12
12,13,0.082
12,14,0.074
12,15,2.3
12,16,0.55
12,17,0.85
12,18,1.7
12,19,0.7
12,20,1.3
12,21,1.2
12,22,0.65
12,23,5.8
12,24,4.6
12,25,4.4
12,26,12.1
13,0,3.2
13,1,3.1
13,2,3.1
13,3,3.1
13,4,2.1
13,5,2.0
13,6,2.0
13,7,4.2
13,8,2.9
13,9,1.8
13,10,2.3
13,11,0.18
13,12,0.082
13,14,0.12
13,15,2.4
13,16,0.6
13,17,0.9
13,18,1.7
13,19,1.0
13,20,1.2
13,21,1.2
13,22,0.5
13,23,5.9
13,24,4.7
13,25,4.4
13,26,12.2
14,0,2.7
14,1,2.6
14,2,2.6
14,3,2.6
14,4,1.6
14,5,1.5
14,6,1.5
14,7,2.9
14,8,2.4
14,9,1.3
14,10,1.8
14,11,0.1
14,12,0.074
14,13,0.12
14,15,1.4
14,16,0.45
14,17,1.1
14,18,1.6
14,19,1.3
14,20,1.9
14,21,2.2
14,22,1.2
14,23,5.9
14,24,4.7
14,25,4.3
14,26,12.2
15,0,2.2
15,1,2.1
15,2,2.2
15,3,2.2
15,4,1.2
15,5,2.0
15,6,1.3
15,7,3.3
15,8,2.9
15,9,1.6
15,10,1.5
15,11,2.3
15,12,2.3
15,13,2.4
15,14,1.4
15,16,0.1
15,17,0.13
15,18,0.13
15,19,2.8
15,20,2.6
15,21,2.5
15,22,1.9
15,23,5.4
15,24,4.2
15,25,5.0
15,26,11.7
16,0,3.1
16,1,3.0
16,2,3.0
16,3,3.1
16,4,2.0
16,5,1.9
16,6,1.9
16,7,3.3
16,8,2.8
16,9,1.7
16,10,2.2
16,11,2.2
16,12,0.55
16,13,0.6
16,14,0.45
16,15,0.1
16,17,0.11
16,18,0.16
16,19,2.8
16,20,2.7
16,21,1.8
16,22,2.0
16,23,5.4
16,24,4.2
16,25,3.8
16,26,11.7
17,0,2.8
17,1,2.7
17,2,2.7
17,3,2.8
17,4,1.8
17,5,2.5
17,6,2.5
17,7,3.8
17,8,3.4
17,9,2.3
17,10,2.8
17,11,2.8
17,12,0.85
17,13,0.9
17,14,1.1
17,15,0.13
17,16,0.11
17,18,0.1
17,19,2.9
17,20,2.7
17,21,1.9
17,22,2.0
17,23,5.5
17,24,4.3
17,25,3.9
17,26,11.8
18,0,2.2
18,1,3.2
18,2,2.3
18,3,3.3
18,4,2.3
18,5,3.0
18,6,2.3
18,7,3.2
18,8,5.3
18,9,2.9
18,10,2.6
18,11,3.3
18,12,1.7
18,13,1.7
18,14,1.6
18,15,0.13
18,16,0.16
18,17,0.1
18,19,1.8
18,20,1.8
18,21,1.7
18,22,1.1
18,23,5.6
18,24,4.4
18,25,4.0
18,26,11.8
19,0,2.8
19,1,2.7
19,2,2.8
19,3,2.8
19,4,1.8
19,5,1.6
19,6,1.7
19,7,2.3
19,8,1.8
19,9,1.5
19,10,1.9
19,11,0.085
19,12,0.7
19,13,1.0
19,14,1.3
19,15,2.8
19,16,2.8
19,17,2.9
19,18,1.8
19,20,0.048
19,21,0.082
19,22,0.056
19,23,4.8
19,24,4.7
19,25,4.7
19,26,4.8
20,0,4.1
20,1,4.0
20,2,4.0
20,3,4.1
20,4,3.1
20,5,2.9
20,6,3.0
20,7,3.0
20,8,2.5
20,9,2.1
20,10,2.6
20,11,2.1
20,12,1.3
20,13,1.2
20,14,1.9
20,15,2.6
20,16,2.7
20,17,2.7
20,18,1.8
20,19,0.048
20,21,0.072
20,22,0.089
20,23,6.0
20,24,4.8
20,25,5.4
20,26,12.3
21,0,3.8
21,1,3.7
21,2,3.7
21,3,3.8
21,4,2.8
21,5,2.6
21,6,2.7
21,7,4.0
21,8,3.6
21,9,2.5
21,10,2.9
21,11,1.9
21,12,1.2
21,13,1.2
21,14,2.2
21,15,2.5
21,16,1.8
21,17,1.9
21,18,1.7
21,19,0.082
21,20,0.072
21,22,0.079
21,23,8.3
21,24,7.1
21,25,7.7
21,26,14.6
22,0,3.2
22,1,3.1
22,2,3.2
22,3,3.2
22,4,2.2
22,5,2.0
22,6,2.1
22,7,3.4
22,8,3.0
22,9,1.9
22,10,2.3
22,11,1.0
22,12,0.65
22,13,0.5
22,14,1.2
22,15,1.9
22,16,2.0
22,17,2.0
22,18,1.1
22,19,0.056
22,20,0.089
22,21,0.079
22,23,6.0
22,24,4.8
22,25,5.4
22,26,12.3
23,0,3.1
23,1,3.1
23,2,3.2
23,3,3.1
23,4,4.2
23,5,4.8
23,6,4.3
23,7,4.1
23,8,6.2
23,9,4.6
23,10,4.5
23,11,5.8
23,12,5.8
23,13,5.9
23,14,5.9
23,15,5.4
23,16,5.4
23,17,5.5
23,18,5.6
23,19,4.8
23,20,6.0
23,21,8.3
23,22,6.0
23,24,0.15
23,25,0.13
23,26,3.7
24,0,1.9
24,1,2.0
24,2,2.0
24,3,1.9
24,4,3.0
24,5,3.6
24,6,3.1
24,7,3.0
24,8,5.0
24,9,3.4
24,10,3.3
24,11,4.6
24,12,4.6
24,13,4.7
24,14,4.7
24,15,4.2
24,16,4.2
24,17,4.3
24,18,4.4
24,19,4.7
24,20,4.8
24,21,7.1
24,22,4.8
24,23,0.15
24,25,0.079
24,26,3.6
25,0,2.5
25,1,2.7
25,2,2.6
25,3,3.2
25,4,3.6
25,5,4.2
25,6,3.7
25,7,3.5
25,8,5.6
25,9,4.0
25,10,3.9
25,11,5.2
25,12,4.4
25,13,4.4
25,14,4.3
25,15,5.0
25,16,3.8
25,17,3.9
25,18,4.0
25,19,4.7
25,20,5.4
25,21,7.7
25,22,5.4
25,23,0.13
25,24,0.079
25,26,3.5
26,0,9.4
26,1,9.4
26,2,9.5
26,3,9.4
26,4,10.5
26,5,11.1
26,6,10.6
26,7,10.4
26,8,12.5
26,9,10.9
26,10,10.8
26,11,12.0
26,12,12.1
26,13,12.1
26,14,12.2
26,15,11.7
26,16,11.7
26,17,11.8
26,18,11.8
26,19,4.8
26,20,12.3
26,21,14.6
26,22,12.3
26,23,3.7
26,24,3.6
26,25,3.5
