from,to,cost
0,1,0.1
0,2,0.15
0,3,0.1
0,4,0.65
0,5,0.7
0,6,1.1
0,7,0.45
0,8,1.7
0,9,1.9
0,10,0.9
0,11,1.0
0,12,1.5
0,13,2.4
0,14,1.8
0,15,1.5
0,16,3.3
0,17,3.2
0,18,2.5
1,0,0.1
1,2,0.13
1,3,0.14
1,4,0.75
1,5,0.65
1,6,1.1
1,7,0.5
1,8,1.6
1,9,2.0
1,10,0.95
1,11,1.0
1,12,1.6
1,13,2.4
1,14,1.9
1,15,1.6
1,16,3.3
1,17,3.2
1,18,2.6
2,0,0.15
2,1,0.13
2,3,0.15
2,4,0.6
2,5,0.7
2,6,1.0
2,7,0.4
2,8,1.0
2,9,1.9
2,10,0.85
2,11,0.95
2,12,2.2
2,13,2.3
2,14,1.8
2,15,1.5
2,16,3.3
2,17,3.2
2,18,2.5
3,0,0.1
3,1,0.14
3,2,0.15
3,4,0.65
3,5,0.75
3,6,1.1
3,7,0.45
3,8,1.7
3,9,1.9
3,10,0.9
3,11,1.0
3,12,2.3
3,13,2.4
3,14,1.9
3,15,1.5
3,16,3.3
3,17,3.2
3,18,2.5
4,0,0.65
4,1,0.75
4,2,0.6
4,3,0.65
4,5,0.051
4,6,0.098
4,7,0.11
4,8,0.5
4,9,1.4
4,10,0.4
4,11,0.55
4,12,1.1
4,13,1.9
4,14,1.4
4,15,1.1
4,16,2.8
4,17,2.7
4,18,2.0
5,0,0.7
5,1,0.65
5,2,0.7
5,3,0.75
5,4,0.051
5,6,0.092
5,7,0.13
5,8,0.45
5,9,1.5
5,10,0.45
5,11,0.5
5,12,1.3
5,13,2.1
5,14,1.4
5,15,1.1
5,16,3.3
5,17,2.7
5,18,2.1
6,0,1.1
6,1,1.1
6,2,1.0
6,3,1.1
6,4,0.098
6,5,0.092
6,7,0.14
6,8,0.5
6,9,1.4
6,10,0.45
6,11,0.55
6,12,1.1
6,13,1.9
6,14,1.3
6,15,1.1
6,16,2.8
6,17,2.7
6,18,2.0
7,0,0.45
7,1,0.5
7,2,0.4
7,3,0.45
7,4,0.11
7,5,0.13
7,6,0.14
7,8,0.55
7,9,1.5
7,10,0.45
7,11,0.55
7,12,1.1
7,13,1.9
7,14,1.4
7,15,1.1
7,16,2.9
7,17,2.8
7,18,2.1
8,0,1.7
8,1,1.6
8,2,1.0
8,3,1.7
8,4,0.5
8,5,0.45
8,6,0.5
8,7,0.55
8,9,0.08
8,10,0.045
8,11,0.047
8,12,0.7
8,13,1.5
8,14,1.0
8,15,0.65
8,16,2.4
8,17,2.3
8,18,1.7
9,0,1.9
9,1,2.0
9,2,1.9
9,3,1.9
9,4,1.4
9,5,1.5
9,6,1.4
9,7,1.5
9,8,0.08
9,10,0.083
9,11,0.085
9,12,0.65
9,13,1.5
9,14,1.1
9,15,0.7
9,16,2.5
9,17,2.4
9,18,2.4
10,0,0.9
10,1,0.95
10,2,0.85
10,3,0.9
10,4,0.4
10,5,0.45
10,6,0.45
10,7,0.45
10,8,0.045
10,9,0.083
10,11,0.081
10,12,0.65
10,13,1.5
10,14,0.95
10,15,0.65
10,16,2.4
10,17,2.3
10,18,1.6
11,0,1.0
11,1,1.0
11,2,0.95
11,3,1.0
11,4,0.55
11,5,0.5
11,6,0.55
11,7,0.55
11,8,0.047
11,9,0.085
11,10,0.081
11,12,1.4
11,13,2.1
11,14,1.7
11,15,1.2
11,16,3.2
11,17,3.5
11,18,2.2
12,0,1.5
12,1,1.6
12,2,2.2
12,3,2.3
12,4,1.1
12,5,1.3
12,6,1.1
12,7,1.1
12,8,0.7
12,9,0.65
12,10,0.65
12,11,1.4
12,13,0.15
12,14,0.12
12,15,0.092
12,16,1.2
12,17,1.2
12,18,1.2
13,0,2.4
13,1,2.4
13,2,2.3
13,3,2.4
13,4,1.9
13,5,2.1
13,6,1.9
13,7,1.9
13,8,1.5
13,9,1.5
13,10,1.5
13,11,2.1
13,12,0.15
13,14,0.13
13,15,0.16
13,16,1.1
13,17,1.1
13,18,1.0
14,0,1.8
14,1,1.9
14,2,1.8
14,3,1.9
14,4,1.4
14,5,1.4
14,6,1.3
14,7,1.4
14,8,1.4
14,9,1.0
14,10,1.1
14,11,1.7
14,12,0.12
14,13,0.13
14,15,0.12
14,16,1.9
14,17,1.8
14,18,1.1
15,0,1.5
15,1,1.6
15,2,1.5
15,3,1.5
15,4,1.1
15,5,1.1
15,6,1.1
15,7,1.1
15,8,0.65
15,9,0.7
15,10,0.65
15,11,1.2
15,12,0.092
15,13,0.16
15,14,0.12
15,16,2.9
15,17,2.8
15,18,2.1
16,0,3.3
16,1,3.3
16,2,3.3
16,3,3.3
16,4,2.8
16,5,3.3
16,6,2.8
16,7,2.9
16,8,3.2
16,9,2.5
16,10,2.4
16,11,3.2
16,12,1.2
16,13,1.1
16,14,1.9
16,15,2.9
16,17,0.064
16,18,0.061
17,0,3.2
17,1,3.2
17,2,3.2
17,3,3.2
17,4,2.7
17,5,2.7
17,6,2.7
17,7,2.8
17,8,2.3
17,9,2.4
17,10,2.3
17,11,3.5
17,12,1.2
17,13,1.1
17,14,1.8
17,15,2.8
17,16,0.064
17,18,0.1
18,0,2.5
18,1,2.6
18,2,2.5
18,3,2.5
18,4,2.0
18,5,2.1
18,6,2.0
18,7,2.1
18,8,1.7
18,9,2.4
18,10,1.6
18,11,2.2
18,12,1.2
18,13,1.0
18,14,1.1
18,15,2.1
18,16,0.061
18,17,0.1
