timestep,location,flow,occupy,speed
1,0,2,1,1
1,1,19,1,1
1,2,6,1,1
1,3,12,1,1
1,4,30,1,1
1,5,10,1,1
1,6,16,1,1
1,7,18,1,1
1,8,12,1,1
1,9,25,1,1
1,10,0,1,1
1,11,28,1,1
2,0,4,1,1
2,1,24,1,1
2,2,0,1,1
2,3,11,1,1
2,4,23,1,1
2,5,9,1,1
2,6,13,1,1
2,7,29,1,1
2,8,9,1,1
2,9,17,1,1
2,10,0,1,1
2,11,13,1,1
3,0,5,1,1
3,1,14,1,1
3,2,3,1,1
3,3,16,1,1
3,4,18,1,1
3,5,13,1,1
3,6,14,1,1
3,7,17,1,1
3,8,1,1,1
3,9,16,1,1
3,10,0,1,1
3,11,16,1,1
4,0,1,1,1
4,1,20,1,1
4,2,0,1,1
4,3,10,1,1
4,4,18,1,1
4,5,11,1,1
4,6,11,1,1
4,7,17,1,1
4,8,6,1,1
4,9,16,1,1
4,10,0,1,1
4,11,17,1,1
5,0,6,1,1
5,1,10,1,1
5,2,1,1,1
5,3,13,1,1
5,4,24,1,1
5,5,9,1,1
5,6,10,1,1
5,7,12,1,1
5,8,1,1,1
5,9,9,1,1
5,10,0,1,1
5,11,8,1,1
6,0,1,1,1
6,1,9,1,1
6,2,3,1,1
6,3,10,1,1
6,4,18,1,1
6,5,5,1,1
6,6,9,1,1
6,7,14,1,1
6,8,1,1,1
6,9,10,1,1
6,10,0,1,1
6,11,13,1,1
7,0,4,1,1
7,1,10,1,1
7,2,0,1,1
7,3,8,1,1
7,4,12,1,1
7,5,6,1,1
7,6,10,1,1
7,7,5,1,1
7,8,2,1,1
7,9,9,1,1
7,10,0,1,1
7,11,8,1,1
8,0,1,1,1
8,1,12,1,1
8,2,1,1,1
8,3,6,1,1
8,4,16,1,1
8,5,4,1,1
8,6,5,1,1
8,7,14,1,1
8,8,1,1,1
8,9,4,1,1
8,10,0,1,1
8,11,8,1,1
9,0,2,1,1
9,1,6,1,1
9,2,0,1,1
9,3,8,1,1
9,4,6,1,1
9,5,2,1,1
9,6,6,1,1
9,7,13,1,1
9,8,1,1,1
9,9,5,1,1
9,10,0,1,1
9,11,8,1,1
10,0,0,1,1
10,1,5,1,1
10,2,1,1,1
10,3,5,1,1
10,4,10,1,1
10,5,2,1,1
10,6,7,1,1
10,7,7,1,1
10,8,1,1,1
10,9,4,1,1
10,10,0,1,1
10,11,11,1,1
11,0,1,1,1
11,1,4,1,1
11,2,0,1,1
11,3,6,1,1
11,4,4,1,1
11,5,2,1,1
11,6,4,1,1
11,7,5,1,1
11,8,1,1,1
11,9,6,1,1
11,10,0,1,1
11,11,5,1,1
12,0,1,1,1
12,1,9,1,1
12,2,1,1,1
12,3,4,1,1
12,4,8,1,1
12,5,6,1,1
12,6,4,1,1
12,7,6,1,1
12,8,6,1,1
12,9,3,1,1
12,10,0,1,1
12,11,5,1,1
13,0,1,1,1
13,1,1,1,1
13,2,0,1,1
13,3,4,1,1
13,4,5,1,1
13,5,4,1,1
13,6,2,1,1
13,7,5,1,1
13,8,2,1,1
13,9,3,1,1
13,10,0,1,1
13,11,1,1,1
14,0,2,1,1
14,1,3,1,1
14,2,2,1,1
14,3,3,1,1
14,4,3,1,1
14,5,4,1,1
14,6,2,1,1
14,7,3,1,1
14,8,1,1,1
14,9,1,1,1
14,10,0,1,1
14,11,2,1,1
15,0,2,1,1
15,1,4,1,1
15,2,1,1,1
15,3,1,1,1
15,4,7,1,1
15,5,1,1,1
15,6,2,1,1
15,7,7,1,1
15,8,2,1,1
15,9,0,1,1
15,10,0,1,1
15,11,3,1,1
16,0,0,1,1
16,1,3,1,1
16,2,0,1,1
16,3,2,1,1
16,4,4,1,1
16,5,2,1,1
16,6,2,1,1
16,7,3,1,1
16,8,0,1,1
16,9,2,1,1
16,10,0,1,1
16,11,4,1,1
17,0,0,1,1
17,1,0,1,1
17,2,1,1,1
17,3,0,1,1
17,4,4,1,1
17,5,3,1,1
17,6,0,1,1
17,7,5,1,1
17,8,1,1,1
17,9,2,1,1
17,10,0,1,1
17,11,2,1,1
18,0,1,1,1
18,1,6,1,1
18,2,1,1,1
18,3,0,1,1
18,4,6,1,1
18,5,5,1,1
18,6,3,1,1
18,7,2,1,1
18,8,0,1,1
18,9,3,1,1
18,10,0,1,1
18,11,1,1,1
19,0,0,1,1
19,1,3,1,1
19,2,0,1,1
19,3,1,1,1
19,4,2,1,1
19,5,1,1,1
19,6,1,1,1
19,7,4,1,1
19,8,1,1,1
19,9,1,1,1
19,10,0,1,1
19,11,5,1,1
20,0,1,1,1
20,1,2,1,1
20,2,1,1,1
20,3,1,1,1
20,4,3,1,1
20,5,0,1,1
20,6,2,1,1
20,7,3,1,1
20,8,2,1,1
20,9,0,1,1
20,10,0,1,1
20,11,3,1,1
21,0,1,1,1
21,1,3,1,1
21,2,1,1,1
21,3,2,1,1
21,4,1,1,1
21,5,1,1,1
21,6,2,1,1
21,7,3,1,1
21,8,0,1,1
21,9,3,1,1
21,10,0,1,1
21,11,2,1,1
22,0,0,1,1
22,1,0,1,1
22,2,0,1,1
22,3,1,1,1
22,4,3,1,1
22,5,0,1,1
22,6,1,1,1
22,7,1,1,1
22,8,0,1,1
22,9,1,1,1
22,10,0,1,1
22,11,1,1,1
23,0,1,1,1
23,1,1,1,1
23,2,0,1,1
23,3,2,1,1
23,4,1,1,1
23,5,1,1,1
23,6,2,1,1
23,7,2,1,1
23,8,0,1,1
23,9,0,1,1
23,10,0,1,1
23,11,3,1,1
24,0,0,1,1
24,1,1,1,1
24,2,0,1,1
24,3,3,1,1
24,4,0,1,1
24,5,2,1,1
24,6,3,1,1
24,7,1,1,1
24,8,1,1,1
24,9,1,1,1
24,10,0,1,1
24,11,4,1,1
25,0,0,1,1
25,1,3,1,1
25,2,0,1,1
25,3,0,1,1
25,4,2,1,1
25,5,1,1,1
25,6,1,1,1
25,7,1,1,1
25,8,0,1,1
25,9,4,1,1
25,10,0,1,1
25,11,0,1,1
26,0,0,1,1
26,1,3,1,1
26,2,0,1,1
26,3,0,1,1
26,4,2,1,1
26,5,1,1,1
26,6,0,1,1
26,7,2,1,1
26,8,0,1,1
26,9,0,1,1
26,10,0,1,1
26,11,0,1,1
27,0,0,1,1
27,1,2,1,1
27,2,1,1,1
27,3,2,1,1
27,4,3,1,1
27,5,0,1,1
27,6,0,1,1
27,7,3,1,1
27,8,1,1,1
27,9,0,1,1
27,10,0,1,1
27,11,2,1,1
28,0,0,1,1
28,1,0,1,1
28,2,2,1,1
28,3,4,1,1
28,4,5,1,1
28,5,0,1,1
28,6,5,1,1
28,7,2,1,1
28,8,1,1,1
28,9,2,1,1
28,10,0,1,1
28,11,7,1,1
29,0,1,1,1
29,1,3,1,1
29,2,0,1,1
29,3,1,1,1
29,4,0,1,1
29,5,2,1,1
29,6,1,1,1
29,7,1,1,1
29,8,1,1,1
29,9,3,1,1
29,10,0,1,1
29,11,1,1,1
30,0,0,1,1
30,1,0,1,1
30,2,0,1,1
30,3,1,1,1
30,4,3,1,1
30,5,0,1,1
30,6,0,1,1
30,7,1,1,1
30,8,1,1,1
30,9,1,1,1
30,10,0,1,1
30,11,0,1,1
31,0,1,1,1
31,1,4,1,1
31,2,0,1,1
31,3,1,1,1
31,4,2,1,1
31,5,2,1,1
31,6,1,1,1
31,7,5,1,1
31,8,1,1,1
31,9,1,1,1
31,10,0,1,1
31,11,0,1,1
32,0,0,1,1
32,1,3,1,1
32,2,1,1,1
32,3,0,1,1
32,4,3,1,1
32,5,1,1,1
32,6,0,1,1
32,7,6,1,1
32,8,0,1,1
32,9,2,1,1
32,10,0,1,1
32,11,2,1,1
33,0,1,1,1
33,1,2,1,1
33,2,0,1,1
33,3,1,1,1
33,4,4,1,1
33,5,0,1,1
33,6,1,1,1
33,7,6,1,1
33,8,1,1,1
33,9,1,1,1
33,10,0,1,1
33,11,0,1,1
34,0,2,1,1
34,1,3,1,1
34,2,1,1,1
34,3,0,1,1
34,4,3,1,1
34,5,1,1,1
34,6,2,1,1
34,7,3,1,1
34,8,0,1,1
34,9,0,1,1
34,10,0,1,1
34,11,0,1,1
35,0,1,1,1
35,1,6,1,1
35,2,0,1,1
35,3,2,1,1
35,4,4,1,1
35,5,3,1,1
35,6,3,1,1
35,7,6,1,1
35,8,1,1,1
35,9,3,1,1
35,10,0,1,1
35,11,4,1,1
36,0,0,1,1
36,1,9,1,1
36,2,2,1,1
36,3,3,1,1
36,4,4,1,1
36,5,3,1,1
36,6,1,1,1
36,7,4,1,1
36,8,2,1,1
36,9,2,1,1
36,10,0,1,1
36,11,2,1,1
37,0,1,1,1
37,1,12,1,1
37,2,3,1,1
37,3,2,1,1
37,4,8,1,1
37,5,3,1,1
37,6,3,1,1
37,7,8,1,1
37,8,3,1,1
37,9,3,1,1
37,10,0,1,1
37,11,1,1,1
38,0,1,1,1
38,1,11,1,1
38,2,3,1,1
38,3,5,1,1
38,4,12,1,1
38,5,1,1,1
38,6,6,1,1
38,7,10,1,1
38,8,3,1,1
38,9,1,1,1
38,10,0,1,1
38,11,5,1,1
39,0,3,1,1
39,1,13,1,1
39,2,6,1,1
39,3,3,1,1
39,4,8,1,1
39,5,2,1,1
39,6,7,1,1
39,7,14,1,1
39,8,1,1,1
39,9,3,1,1
39,10,0,1,1
39,11,5,1,1
40,0,1,1,1
40,1,13,1,1
40,2,7,1,1
40,3,4,1,1
40,4,14,1,1
40,5,4,1,1
40,6,6,1,1
40,7,16,1,1
40,8,3,1,1
40,9,5,1,1
40,10,0,1,1
40,11,3,1,1
41,0,4,1,1
41,1,23,1,1
41,2,7,1,1
41,3,9,1,1
41,4,23,1,1
41,5,4,1,1
41,6,9,1,1
41,7,28,1,1
41,8,2,1,1
41,9,3,1,1
41,10,0,1,1
41,11,5,1,1
42,0,4,1,1
42,1,30,1,1
42,2,11,1,1
42,3,13,1,1
42,4,31,1,1
42,5,7,1,1
42,6,15,1,1
42,7,34,1,1
42,8,4,1,1
42,9,18,1,1
42,10,0,1,1
42,11,21,1,1
43,0,2,1,1
43,1,48,1,1
43,2,17,1,1
43,3,17,1,1
43,4,33,1,1
43,5,18,1,1
43,6,19,1,1
43,7,49,1,1
43,8,2,1,1
43,9,22,1,1
43,10,0,1,1
43,11,16,1,1
44,0,3,1,1
44,1,51,1,1
44,2,16,1,1
44,3,29,1,1
44,4,41,1,1
44,5,17,1,1
44,6,24,1,1
44,7,42,1,1
44,8,12,1,1
44,9,21,1,1
44,10,0,1,1
44,11,23,1,1
45,0,7,1,1
45,1,62,1,1
45,2,18,1,1
45,3,17,1,1
45,4,44,1,1
45,5,25,1,1
45,6,15,1,1
45,7,59,1,1
45,8,11,1,1
45,9,32,1,1
45,10,0,1,1
45,11,18,1,1
46,0,6,1,1
46,1,65,1,1
46,2,9,1,1
46,3,22,1,1
46,4,49,1,1
46,5,29,1,1
46,6,24,1,1
46,7,66,1,1
46,8,17,1,1
46,9,39,1,1
46,10,0,1,1
46,11,24,1,1
47,0,21,1,1
47,1,98,1,1
47,2,17,1,1
47,3,29,1,1
47,4,71,1,1
47,5,44,1,1
47,6,35,1,1
47,7,80,1,1
47,8,14,1,1
47,9,50,1,1
47,10,0,1,1
47,11,43,1,1
