timestep,location,flow,occupy,speed
1,0,15.0,1,1
1,1,21.0,1,1
1,2,34.0,1,1
1,3,23.0,1,1
1,4,45.0,1,1
1,5,14.0,1,1
1,6,47.0,1,1
1,7,29.0,1,1
1,8,37.0,1,1
1,9,32.0,1,1
1,10,29.0,1,1
1,11,30.0,1,1
1,12,41.0,1,1
1,13,65.0,1,1
1,14,38.0,1,1
1,15,72.0,1,1
1,16,46.0,1,1
1,17,70.0,1,1
1,18,59.0,1,1
1,19,54.95640563964844,1,1
1,20,44.542484283447266,1,1
1,21,45.42877960205078,1,1
1,22,53.693519592285156,1,1
1,23,0.0,1,1
1,24,25.0,1,1
1,25,65.0,1,1
1,26,57.0,1,1
2,0,13.0,1,1
2,1,34.0,1,1
2,2,27.0,1,1
2,3,29.0,1,1
2,4,45.0,1,1
2,5,15.0,1,1
2,6,36.0,1,1
2,7,20.0,1,1
2,8,26.0,1,1
2,9,44.0,1,1
2,10,30.0,1,1
2,11,20.0,1,1
2,12,52.0,1,1
2,13,69.0,1,1
2,14,35.0,1,1
2,15,53.0,1,1
2,16,48.0,1,1
2,17,44.0,1,1
2,18,65.0,1,1
2,19,84.58114624023438,1,1
2,20,67.1800308227539,1,1
2,21,67.16313934326172,1,1
2,22,59.78794860839844,1,1
2,23,0.0,1,1
2,24,20.0,1,1
2,25,76.0,1,1
2,26,33.0,1,1
3,0,9.0,1,1
3,1,21.0,1,1
3,2,36.0,1,1
3,3,25.0,1,1
3,4,40.0,1,1
3,5,14.0,1,1
3,6,36.0,1,1
3,7,22.0,1,1
3,8,30.0,1,1
3,9,41.0,1,1
3,10,36.0,1,1
3,11,26.0,1,1
3,12,50.0,1,1
3,13,56.0,1,1
3,14,36.0,1,1
3,15,51.0,1,1
3,16,35.0,1,1
3,17,47.0,1,1
3,18,73.0,1,1
3,19,69.21237182617188,1,1
3,20,38.44736862182617,1,1
3,21,46.762264251708984,1,1
3,22,36.586360931396484,1,1
3,23,0.0,1,1
3,24,27.0,1,1
3,25,69.0,1,1
3,26,63.0,1,1
4,0,15.0,1,1
4,1,20.0,1,1
4,2,26.0,1,1
4,3,27.0,1,1
4,4,47.0,1,1
4,5,16.0,1,1
4,6,29.0,1,1
4,7,18.0,1,1
4,8,27.0,1,1
4,9,30.0,1,1
4,10,35.0,1,1
4,11,35.0,1,1
4,12,48.0,1,1
4,13,69.0,1,1
4,14,40.0,1,1
4,15,40.0,1,1
4,16,28.0,1,1
4,17,46.0,1,1
4,18,67.0,1,1
4,19,70.10916137695312,1,1
4,20,46.46339416503906,1,1
4,21,47.999813079833984,1,1
4,22,37.94069290161133,1,1
4,23,0.0,1,1
4,24,19.0,1,1
4,25,55.0,1,1
4,26,47.0,1,1
5,0,8.0,1,1
5,1,20.0,1,1
5,2,24.0,1,1
5,3,29.0,1,1
5,4,32.0,1,1
5,5,9.0,1,1
5,6,30.0,1,1
5,7,19.0,1,1
5,8,28.0,1,1
5,9,27.0,1,1
5,10,30.0,1,1
5,11,29.0,1,1
5,12,36.0,1,1
5,13,54.0,1,1
5,14,32.0,1,1
5,15,29.0,1,1
5,16,30.0,1,1
5,17,53.0,1,1
5,18,43.0,1,1
5,19,67.64615631103516,1,1
5,20,47.64533615112305,1,1
5,21,54.298439025878906,1,1
5,22,44.098758697509766,1,1
5,23,0.0,1,1
5,24,20.0,1,1
5,25,55.0,1,1
5,26,43.0,1,1
6,0,9.0,1,1
6,1,23.0,1,1
6,2,21.0,1,1
6,3,30.0,1,1
6,4,43.0,1,1
6,5,11.0,1,1
6,6,27.0,1,1
6,7,19.0,1,1
6,8,17.0,1,1
6,9,32.0,1,1
6,10,23.0,1,1
6,11,14.0,1,1
6,12,38.0,1,1
6,13,55.0,1,1
6,14,24.0,1,1
6,15,54.0,1,1
6,16,34.0,1,1
6,17,38.0,1,1
6,18,43.0,1,1
6,19,60.946189880371094,1,1
6,20,46.56797790527344,1,1
6,21,50.30851745605469,1,1
6,22,41.58122634887695,1,1
6,23,0.0,1,1
6,24,17.0,1,1
6,25,45.0,1,1
6,26,33.0,1,1
7,0,7.0,1,1
7,1,12.0,1,1
7,2,23.0,1,1
7,3,21.0,1,1
7,4,32.0,1,1
7,5,4.0,1,1
7,6,36.0,1,1
7,7,12.0,1,1
7,8,26.0,1,1
7,9,28.0,1,1
7,10,19.0,1,1
7,11,15.0,1,1
7,12,27.0,1,1
7,13,51.0,1,1
7,14,25.0,1,1
7,15,33.0,1,1
7,16,22.0,1,1
7,17,38.0,1,1
7,18,43.0,1,1
7,19,59.2901725769043,1,1
7,20,52.068458557128906,1,1
7,21,47.65766525268555,1,1
7,22,38.424659729003906,1,1
7,23,0.0,1,1
7,24,23.0,1,1
7,25,73.0,1,1
7,26,31.0,1,1
8,0,5.0,1,1
8,1,24.0,1,1
8,2,9.0,1,1
8,3,14.0,1,1
8,4,31.0,1,1
8,5,9.0,1,1
8,6,30.0,1,1
8,7,14.0,1,1
8,8,20.0,1,1
8,9,30.0,1,1
8,10,18.0,1,1
8,11,10.0,1,1
8,12,25.0,1,1
8,13,53.0,1,1
8,14,28.0,1,1
8,15,35.0,1,1
8,16,30.0,1,1
8,17,29.0,1,1
8,18,43.0,1,1
8,19,50.20751190185547,1,1
8,20,36.02143859863281,1,1
8,21,34.9537353515625,1,1
8,22,27.807666778564453,1,1
8,23,0.0,1,1
8,24,10.0,1,1
8,25,60.0,1,1
8,26,25.0,1,1
9,0,10.0,1,1
9,1,10.0,1,1
9,2,15.0,1,1
9,3,9.0,1,1
9,4,25.0,1,1
9,5,4.0,1,1
9,6,35.0,1,1
9,7,12.0,1,1
9,8,15.0,1,1
9,9,17.0,1,1
9,10,17.0,1,1
9,11,16.0,1,1
9,12,23.0,1,1
9,13,36.0,1,1
9,14,19.0,1,1
9,15,35.0,1,1
9,16,25.0,1,1
9,17,37.0,1,1
9,18,29.0,1,1
9,19,43.54920196533203,1,1
9,20,18.612834930419922,1,1
9,21,15.317612648010254,1,1
9,22,17.271116256713867,1,1
9,23,0.0,1,1
9,24,11.0,1,1
9,25,54.0,1,1
9,26,19.0,1,1
10,0,4.0,1,1
10,1,11.0,1,1
10,2,18.0,1,1
10,3,24.0,1,1
10,4,17.0,1,1
10,5,10.0,1,1
10,6,19.0,1,1
10,7,16.0,1,1
10,8,12.0,1,1
10,9,22.0,1,1
10,10,18.0,1,1
10,11,10.0,1,1
10,12,22.0,1,1
10,13,49.0,1,1
10,14,23.0,1,1
10,15,21.0,1,1
10,16,25.0,1,1
10,17,26.0,1,1
10,18,46.0,1,1
10,19,41.717227935791016,1,1
10,20,29.81511688232422,1,1
10,21,30.92129135131836,1,1
10,22,24.967647552490234,1,1
10,23,0.0,1,1
10,24,21.0,1,1
10,25,41.0,1,1
10,26,30.0,1,1
11,0,2.0,1,1
11,1,12.0,1,1
11,2,6.0,1,1
11,3,14.0,1,1
11,4,26.0,1,1
11,5,2.0,1,1
11,6,21.0,1,1
11,7,19.0,1,1
11,8,12.0,1,1
11,9,23.0,1,1
11,10,15.0,1,1
11,11,18.0,1,1
11,12,20.0,1,1
11,13,35.0,1,1
11,14,23.0,1,1
11,15,31.0,1,1
11,16,17.0,1,1
11,17,21.0,1,1
11,18,25.0,1,1
11,19,42.64060974121094,1,1
11,20,24.440448760986328,1,1
11,21,23.715965270996094,1,1
11,22,19.64611053466797,1,1
11,23,0.0,1,1
11,24,11.0,1,1
11,25,33.0,1,1
11,26,27.0,1,1
12,0,2.0,1,1
12,1,14.0,1,1
12,2,15.0,1,1
12,3,10.0,1,1
12,4,24.0,1,1
12,5,10.0,1,1
12,6,15.0,1,1
12,7,11.0,1,1
12,8,20.0,1,1
12,9,23.0,1,1
12,10,16.0,1,1
12,11,14.0,1,1
12,12,18.0,1,1
12,13,30.0,1,1
12,14,25.0,1,1
12,15,23.0,1,1
12,16,10.0,1,1
12,17,27.0,1,1
12,18,29.0,1,1
12,19,26.879695892333984,1,1
12,20,12.648417472839355,1,1
12,21,8.56987190246582,1,1
12,22,8.269573211669922,1,1
12,23,0.0,1,1
12,24,10.0,1,1
12,25,38.0,1,1
12,26,32.0,1,1
13,0,6.0,1,1
13,1,13.0,1,1
13,2,13.0,1,1
13,3,15.0,1,1
13,4,16.0,1,1
13,5,6.0,1,1
13,6,13.0,1,1
13,7,13.0,1,1
13,8,14.0,1,1
13,9,16.0,1,1
13,10,18.0,1,1
13,11,6.0,1,1
13,12,20.0,1,1
13,13,47.0,1,1
13,14,29.0,1,1
13,15,26.0,1,1
13,16,15.0,1,1
13,17,23.0,1,1
13,18,39.0,1,1
13,19,40.26202392578125,1,1
13,20,17.916316986083984,1,1
13,21,22.53866195678711,1,1
13,22,19.129425048828125,1,1
13,23,0.0,1,1
13,24,12.0,1,1
13,25,38.0,1,1
13,26,28.0,1,1
14,0,6.0,1,1
14,1,9.0,1,1
14,2,9.0,1,1
14,3,12.0,1,1
14,4,14.0,1,1
14,5,7.0,1,1
14,6,14.0,1,1
14,7,12.0,1,1
14,8,12.0,1,1
14,9,18.0,1,1
14,10,10.0,1,1
14,11,5.0,1,1
14,12,18.0,1,1
14,13,38.0,1,1
14,14,25.0,1,1
14,15,27.0,1,1
14,16,14.0,1,1
14,17,16.0,1,1
14,18,36.0,1,1
14,19,35.635475158691406,1,1
14,20,21.2345027923584,1,1
14,21,20.423294067382812,1,1
14,22,16.176002502441406,1,1
14,23,0.0,1,1
14,24,18.0,1,1
14,25,44.0,1,1
14,26,16.0,1,1
15,0,4.0,1,1
15,1,5.0,1,1
15,2,11.0,1,1
15,3,15.0,1,1
15,4,10.0,1,1
15,5,8.0,1,1
15,6,13.0,1,1
15,7,9.0,1,1
15,8,10.0,1,1
15,9,17.0,1,1
15,10,7.0,1,1
15,11,13.0,1,1
15,12,16.0,1,1
15,13,28.0,1,1
15,14,20.0,1,1
15,15,25.0,1,1
15,16,14.0,1,1
15,17,10.0,1,1
15,18,25.0,1,1
15,19,33.29212188720703,1,1
15,20,21.364622116088867,1,1
15,21,18.919654846191406,1,1
15,22,14.865209579467773,1,1
15,23,0.0,1,1
15,24,12.0,1,1
15,25,39.0,1,1
15,26,22.0,1,1
16,0,3.0,1,1
16,1,12.0,1,1
16,2,7.0,1,1
16,3,17.0,1,1
16,4,10.0,1,1
16,5,7.0,1,1
16,6,15.0,1,1
16,7,9.0,1,1
16,8,10.0,1,1
16,9,18.0,1,1
16,10,9.0,1,1
16,11,15.0,1,1
16,12,19.0,1,1
16,13,34.0,1,1
16,14,25.0,1,1
16,15,25.0,1,1
16,16,19.0,1,1
16,17,11.0,1,1
16,18,32.0,1,1
16,19,35.57790756225586,1,1
16,20,11.296791076660156,1,1
16,21,17.23465919494629,1,1
16,22,16.328062057495117,1,1
16,23,0.0,1,1
16,24,16.0,1,1
16,25,33.0,1,1
16,26,15.0,1,1
17,0,2.0,1,1
17,1,11.0,1,1
17,2,3.0,1,1
17,3,10.0,1,1
17,4,13.0,1,1
17,5,11.0,1,1
17,6,10.0,1,1
17,7,3.0,1,1
17,8,7.0,1,1
17,9,18.0,1,1
17,10,15.0,1,1
17,11,12.0,1,1
17,12,15.0,1,1
17,13,31.0,1,1
17,14,16.0,1,1
17,15,20.0,1,1
17,16,16.0,1,1
17,17,15.0,1,1
17,18,24.0,1,1
17,19,31.647953033447266,1,1
17,20,18.877891540527344,1,1
17,21,13.478582382202148,1,1
17,22,14.09922981262207,1,1
17,23,0.0,1,1
17,24,4.0,1,1
17,25,29.0,1,1
17,26,20.0,1,1
18,0,1.0,1,1
18,1,5.0,1,1
18,2,3.0,1,1
18,3,6.0,1,1
18,4,11.0,1,1
18,5,4.0,1,1
18,6,13.0,1,1
18,7,12.0,1,1
18,8,9.0,1,1
18,9,10.0,1,1
18,10,11.0,1,1
18,11,6.0,1,1
18,12,19.0,1,1
18,13,27.0,1,1
18,14,18.0,1,1
18,15,16.0,1,1
18,16,12.0,1,1
18,17,15.0,1,1
18,18,13.0,1,1
18,19,28.136295318603516,1,1
18,20,17.132171630859375,1,1
18,21,20.19318962097168,1,1
18,22,18.05512237548828,1,1
18,23,0.0,1,1
18,24,6.0,1,1
18,25,29.0,1,1
18,26,34.0,1,1
19,0,1.0,1,1
19,1,7.0,1,1
19,2,6.0,1,1
19,3,9.0,1,1
19,4,7.0,1,1
19,5,9.0,1,1
19,6,16.0,1,1
19,7,8.0,1,1
19,8,13.0,1,1
19,9,14.0,1,1
19,10,6.0,1,1
19,11,10.0,1,1
19,12,17.0,1,1
19,13,21.0,1,1
19,14,26.0,1,1
19,15,12.0,1,1
19,16,16.0,1,1
19,17,19.0,1,1
19,18,29.0,1,1
19,19,18.024503707885742,1,1
19,20,17.748985290527344,1,1
19,21,15.612985610961914,1,1
19,22,14.752010345458984,1,1
19,23,0.0,1,1
19,24,14.0,1,1
19,25,36.0,1,1
19,26,21.0,1,1
20,0,2.0,1,1
20,1,8.0,1,1
20,2,6.0,1,1
20,3,7.0,1,1
20,4,14.0,1,1
20,5,2.0,1,1
20,6,16.0,1,1
20,7,5.0,1,1
20,8,15.0,1,1
20,9,9.0,1,1
20,10,12.0,1,1
20,11,8.0,1,1
20,12,16.0,1,1
20,13,16.0,1,1
20,14,17.0,1,1
20,15,11.0,1,1
20,16,16.0,1,1
20,17,6.0,1,1
20,18,19.0,1,1
20,19,19.592220306396484,1,1
20,20,3.766674757003784,1,1
20,21,10.14090633392334,1,1
20,22,8.614272117614746,1,1
20,23,0.0,1,1
20,24,6.0,1,1
20,25,27.0,1,1
20,26,18.0,1,1
21,0,2.0,1,1
21,1,9.0,1,1
21,2,5.0,1,1
21,3,10.0,1,1
21,4,10.0,1,1
21,5,4.0,1,1
21,6,21.0,1,1
21,7,7.0,1,1
21,8,4.0,1,1
21,9,8.0,1,1
21,10,12.0,1,1
21,11,13.0,1,1
21,12,17.0,1,1
21,13,18.0,1,1
21,14,10.0,1,1
21,15,25.0,1,1
21,16,18.0,1,1
21,17,21.0,1,1
21,18,17.0,1,1
21,19,19.819910049438477,1,1
21,20,13.062790870666504,1,1
21,21,16.12214469909668,1,1
21,22,14.694321632385254,1,1
21,23,0.0,1,1
21,24,10.0,1,1
21,25,36.0,1,1
21,26,24.0,1,1
22,0,4.0,1,1
22,1,9.0,1,1
22,2,7.0,1,1
22,3,10.0,1,1
22,4,12.0,1,1
22,5,3.0,1,1
22,6,16.0,1,1
22,7,6.0,1,1
22,8,6.0,1,1
22,9,6.0,1,1
22,10,12.0,1,1
22,11,12.0,1,1
22,12,14.0,1,1
22,13,17.0,1,1
22,14,19.0,1,1
22,15,13.0,1,1
22,16,12.0,1,1
22,17,17.0,1,1
22,18,23.0,1,1
22,19,18.14102554321289,1,1
22,20,7.6491827964782715,1,1
22,21,11.48846435546875,1,1
22,22,8.047709465026855,1,1
22,23,0.0,1,1
22,24,10.0,1,1
22,25,22.0,1,1
22,26,17.0,1,1
23,0,2.0,1,1
23,1,7.0,1,1
23,2,6.0,1,1
23,3,10.0,1,1
23,4,11.0,1,1
23,5,3.0,1,1
23,6,7.0,1,1
23,7,11.0,1,1
23,8,8.0,1,1
23,9,11.0,1,1
23,10,9.0,1,1
23,11,8.0,1,1
23,12,13.0,1,1
23,13,28.0,1,1
23,14,12.0,1,1
23,15,12.0,1,1
23,16,11.0,1,1
23,17,10.0,1,1
23,18,18.0,1,1
23,19,21.81622314453125,1,1
23,20,12.705167770385742,1,1
23,21,14.88305950164795,1,1
23,22,9.011011123657227,1,1
23,23,0.0,1,1
23,24,7.0,1,1
23,25,25.0,1,1
23,26,16.0,1,1
24,0,3.0,1,1
24,1,8.0,1,1
24,2,3.0,1,1
24,3,8.0,1,1
24,4,10.0,1,1
24,5,8.0,1,1
24,6,7.0,1,1
24,7,7.0,1,1
24,8,8.0,1,1
24,9,12.0,1,1
24,10,6.0,1,1
24,11,8.0,1,1
24,12,8.0,1,1
24,13,24.0,1,1
24,14,18.0,1,1
24,15,11.0,1,1
24,16,10.0,1,1
24,17,10.0,1,1
24,18,17.0,1,1
24,19,26.236373901367188,1,1
24,20,11.659812927246094,1,1
24,21,16.358638763427734,1,1
24,22,14.16784381866455,1,1
24,23,0.0,1,1
24,24,13.0,1,1
24,25,15.0,1,1
24,26,11.0,1,1
25,0,2.0,1,1
25,1,7.0,1,1
25,2,3.0,1,1
25,3,9.0,1,1
25,4,6.0,1,1
25,5,3.0,1,1
25,6,4.0,1,1
25,7,8.0,1,1
25,8,6.0,1,1
25,9,9.0,1,1
25,10,10.0,1,1
25,11,7.0,1,1
25,12,4.0,1,1
25,13,16.0,1,1
25,14,7.0,1,1
25,15,11.0,1,1
25,16,6.0,1,1
25,17,5.0,1,1
25,18,13.0,1,1
25,19,16.183204650878906,1,1
25,20,1.2591171264648438,1,1
25,21,7.296088695526123,1,1
25,22,8.445077896118164,1,1
25,23,0.0,1,1
25,24,3.0,1,1
25,25,19.0,1,1
25,26,13.0,1,1
26,0,0.0,1,1
26,1,6.0,1,1
26,2,1.0,1,1
26,3,6.0,1,1
26,4,14.0,1,1
26,5,2.0,1,1
26,6,7.0,1,1
26,7,6.0,1,1
26,8,7.0,1,1
26,9,11.0,1,1
26,10,6.0,1,1
26,11,6.0,1,1
26,12,8.0,1,1
26,13,20.0,1,1
26,14,14.0,1,1
26,15,11.0,1,1
26,16,4.0,1,1
26,17,14.0,1,1
26,18,23.0,1,1
26,19,17.4339656829834,1,1
26,20,7.191928863525391,1,1
26,21,14.341194152832031,1,1
26,22,10.014867782592773,1,1
26,23,0.0,1,1
26,24,11.0,1,1
26,25,17.0,1,1
26,26,17.0,1,1
27,0,0.0,1,1
27,1,4.0,1,1
27,2,5.0,1,1
27,3,6.0,1,1
27,4,12.0,1,1
27,5,4.0,1,1
27,6,7.0,1,1
27,7,3.0,1,1
27,8,3.0,1,1
27,9,12.0,1,1
27,10,11.0,1,1
27,11,8.0,1,1
27,12,7.0,1,1
27,13,22.0,1,1
27,14,11.0,1,1
27,15,11.0,1,1
27,16,7.0,1,1
27,17,9.0,1,1
27,18,13.0,1,1
27,19,17.311115264892578,1,1
27,20,10.7278413772583,1,1
27,21,12.46099853515625,1,1
27,22,9.78294563293457,1,1
27,23,0.0,1,1
27,24,5.0,1,1
27,25,18.0,1,1
27,26,10.0,1,1
28,0,2.0,1,1
28,1,7.0,1,1
28,2,0.0,1,1
28,3,3.0,1,1
28,4,4.0,1,1
28,5,2.0,1,1
28,6,4.0,1,1
28,7,0.0,1,1
28,8,6.0,1,1
28,9,7.0,1,1
28,10,10.0,1,1
28,11,0.0,1,1
28,12,4.0,1,1
28,13,11.0,1,1
28,14,14.0,1,1
28,15,7.0,1,1
28,16,3.0,1,1
28,17,8.0,1,1
28,18,13.0,1,1
28,19,20.180402755737305,1,1
28,20,6.913904666900635,1,1
28,21,9.113785743713379,1,1
28,22,6.1710205078125,1,1
28,23,0.0,1,1
28,24,5.0,1,1
28,25,7.0,1,1
28,26,10.0,1,1
29,0,2.0,1,1
29,1,5.0,1,1
29,2,1.0,1,1
29,3,0.0,1,1
29,4,1.0,1,1
29,5,4.0,1,1
29,6,5.0,1,1
29,7,2.0,1,1
29,8,3.0,1,1
29,9,4.0,1,1
29,10,4.0,1,1
29,11,5.0,1,1
29,12,5.0,1,1
29,13,16.0,1,1
29,14,7.0,1,1
29,15,5.0,1,1
29,16,6.0,1,1
29,17,3.0,1,1
29,18,8.0,1,1
29,19,15.89599323272705,1,1
29,20,2.824276924133301,1,1
29,21,6.154608726501465,1,1
29,22,5.8967180252075195,1,1
29,23,0.0,1,1
29,24,11.0,1,1
29,25,6.0,1,1
29,26,8.0,1,1
30,0,0.0,1,1
30,1,3.0,1,1
30,2,2.0,1,1
30,3,2.0,1,1
30,4,4.0,1,1
30,5,4.0,1,1
30,6,3.0,1,1
30,7,3.0,1,1
30,8,3.0,1,1
30,9,7.0,1,1
30,10,3.0,1,1
30,11,3.0,1,1
30,12,7.0,1,1
30,13,11.0,1,1
30,14,6.0,1,1
30,15,8.0,1,1
30,16,7.0,1,1
30,17,6.0,1,1
30,18,5.0,1,1
30,19,20.188114166259766,1,1
30,20,4.496707439422607,1,1
30,21,11.45461654663086,1,1
30,22,6.192018508911133,1,1
30,23,0.0,1,1
30,24,4.0,1,1
30,25,13.0,1,1
30,26,11.0,1,1
31,0,2.0,1,1
31,1,2.0,1,1
31,2,1.0,1,1
31,3,8.0,1,1
31,4,4.0,1,1
31,5,2.0,1,1
31,6,1.0,1,1
31,7,3.0,1,1
31,8,6.0,1,1
31,9,2.0,1,1
31,10,4.0,1,1
31,11,1.0,1,1
31,12,4.0,1,1
31,13,7.0,1,1
31,14,5.0,1,1
31,15,5.0,1,1
31,16,2.0,1,1
31,17,1.0,1,1
31,18,60.0,1,1
31,19,12.862865447998047,1,1
31,20,7.562431335449219,1,1
31,21,6.213754653930664,1,1
