timestep,location,flow,occupy,speed
1,0,370.0,1,1
1,1,179.0,1,1
1,2,172.0,1,1
1,3,209.0,1,1
1,4,178.0,1,1
1,5,200.0,1,1
1,6,267.0,1,1
1,7,166.0,1,1
1,8,102.0,1,1
1,9,206.0,1,1
1,10,290.0,1,1
1,11,454.0,1,1
1,12,203.0,1,1
1,13,821.0,1,1
1,14,140.0,1,1
1,15,332.0,1,1
2,0,227.0,1,1
2,1,127.0,1,1
2,2,106.0,1,1
2,3,178.0,1,1
2,4,150.0,1,1
2,5,119.0,1,1
2,6,241.0,1,1
2,7,93.0,1,1
2,8,120.0,1,1
2,9,218.0,1,1
2,10,303.0,1,1
2,11,320.0,1,1
2,12,195.0,1,1
2,13,413.0,1,1
2,14,88.0,1,1
2,15,151.0,1,1
3,0,79.0,1,1
3,1,72.0,1,1
3,2,36.0,1,1
3,3,167.0,1,1
3,4,124.0,1,1
3,5,56.0,1,1
3,6,199.0,1,1
3,7,78.0,1,1
3,8,90.0,1,1
3,9,105.0,1,1
3,10,233.0,1,1
3,11,156.0,1,1
3,12,111.0,1,1
3,13,499.0,1,1
3,14,56.0,1,1
3,15,138.0,1,1
4,0,50.0,1,1
4,1,39.0,1,1
4,2,15.0,1,1
4,3,119.0,1,1
4,4,94.0,1,1
4,5,29.0,1,1
4,6,182.0,1,1
4,7,49.0,1,1
4,8,91.0,1,1
4,9,94.0,1,1
4,10,219.0,1,1
4,11,135.0,1,1
4,12,78.0,1,1
4,13,316.0,1,1
4,14,33.0,1,1
4,15,66.0,1,1
5,0,36.0,1,1
5,1,16.0,1,1
5,2,11.0,1,1
5,3,130.0,1,1
5,4,48.0,1,1
5,5,7.0,1,1
5,6,121.0,1,1
5,7,16.0,1,1
5,8,42.0,1,1
5,9,44.0,1,1
5,10,200.0,1,1
5,11,63.0,1,1
5,12,20.0,1,1
5,13,180.0,1,1
5,14,5.0,1,1
5,15,22.0,1,1
6,0,17.0,1,1
6,1,13.0,1,1
6,2,9.0,1,1
6,3,136.0,1,1
6,4,35.0,1,1
6,5,3.0,1,1
6,6,90.0,1,1
6,7,13.0,1,1
6,8,33.0,1,1
6,9,22.0,1,1
6,10,215.0,1,1
6,11,46.0,1,1
6,12,11.0,1,1
6,13,204.0,1,1
6,14,3.0,1,1
6,15,21.0,1,1
7,0,26.0,1,1
7,1,18.0,1,1
7,2,12.0,1,1
7,3,93.0,1,1
7,4,24.0,1,1
7,5,1.0,1,1
7,6,50.0,1,1
7,7,6.0,1,1
7,8,19.0,1,1
7,9,15.0,1,1
7,10,150.0,1,1
7,11,70.0,1,1
7,12,5.0,1,1
7,13,128.0,1,1
7,14,2.0,1,1
7,15,11.0,1,1
8,0,133.0,1,1
8,1,61.0,1,1
8,2,29.0,1,1
8,3,106.0,1,1
8,4,61.0,1,1
8,5,16.0,1,1
8,6,133.0,1,1
8,7,38.0,1,1
8,8,60.0,1,1
8,9,72.0,1,1
8,10,329.0,1,1
8,11,107.0,1,1
8,12,38.0,1,1
8,13,273.0,1,1
8,14,18.0,1,1
8,15,57.0,1,1
9,0,273.0,1,1
9,1,353.0,1,1
9,2,81.0,1,1
9,3,322.0,1,1
9,4,294.0,1,1
9,5,197.0,1,1
9,6,388.0,1,1
9,7,170.0,1,1
9,8,231.0,1,1
9,9,250.0,1,1
9,10,574.0,1,1
9,11,389.0,1,1
9,12,229.0,1,1
9,13,1003.0,1,1
9,14,176.0,1,1
9,15,463.0,1,1
10,0,435.0,1,1
10,1,359.0,1,1
10,2,141.0,1,1
10,3,483.0,1,1
10,4,402.0,1,1
10,5,342.0,1,1
