timestep,location,flow,occupy,speed
1,0,0.0,1,1
1,1,0.0,1,1
1,2,0.0,1,1
1,3,76.0,1,1
1,4,220.0,1,1
1,5,338.0,1,1
1,6,107.0,1,1
1,7,225.0,1,1
1,8,124.0,1,1
1,9,170.0,1,1
1,10,403.0,1,1
1,11,506.0,1,1
1,12,282.0,1,1
1,13,254.0,1,1
1,14,57.0,1,1
1,15,250.0,1,1
2,0,0.0,1,1
2,1,0.0,1,1
2,2,0.0,1,1
2,3,40.0,1,1
2,4,206.0,1,1
2,5,68.0,1,1
2,6,49.0,1,1
2,7,128.0,1,1
2,8,75.0,1,1
2,9,230.0,1,1
2,10,335.0,1,1
2,11,336.0,1,1
2,12,137.0,1,1
2,13,605.0,1,1
2,14,42.0,1,1
2,15,0.0,1,1
3,0,0.0,1,1
3,1,0.0,1,1
3,2,0.0,1,1
3,3,31.0,1,1
3,4,254.0,1,1
3,5,69.0,1,1
3,6,93.0,1,1
3,7,162.0,1,1
3,8,122.0,1,1
3,9,136.0,1,1
3,10,273.0,1,1
3,11,252.0,1,1
3,12,117.0,1,1
3,13,285.0,1,1
3,14,220.0,1,1
3,15,122.0,1,1
4,0,0.0,1,1
4,1,0.0,1,1
4,2,0.0,1,1
4,3,0.0,1,1
4,4,212.0,1,1
4,5,280.0,1,1
4,6,10.0,1,1
4,7,76.0,1,1
4,8,43.0,1,1
4,9,129.0,1,1
4,10,217.0,1,1
4,11,143.0,1,1
4,12,120.0,1,1
4,13,306.0,1,1
4,14,0.0,1,1
4,15,309.0,1,1
5,0,0.0,1,1
5,1,0.0,1,1
5,2,0.0,1,1
5,3,10.0,1,1
5,4,148.0,1,1
5,5,176.0,1,1
5,6,0.0,1,1
5,7,66.0,1,1
5,8,67.0,1,1
5,9,92.0,1,1
5,10,189.0,1,1
5,11,93.0,1,1
5,12,93.0,1,1
5,13,0.0,1,1
5,14,0.0,1,1
5,15,0.0,1,1
6,0,0.0,1,1
6,1,0.0,1,1
6,2,0.0,1,1
6,3,0.0,1,1
6,4,111.0,1,1
6,5,114.0,1,1
6,6,178.0,1,1
6,7,101.0,1,1
6,8,47.0,1,1
6,9,0.0,1,1
6,10,139.0,1,1
6,11,74.0,1,1
6,12,83.0,1,1
6,13,108.0,1,1
6,14,0.0,1,1
6,15,50.0,1,1
7,0,0.0,1,1
7,1,0.0,1,1
7,2,0.0,1,1
7,3,0.0,1,1
7,4,135.0,1,1
7,5,0.0,1,1
7,6,50.0,1,1
7,7,32.0,1,1
7,8,51.0,1,1
7,9,54.0,1,1
7,10,137.0,1,1
7,11,63.0,1,1
7,12,53.0,1,1
7,13,0.0,1,1
7,14,0.0,1,1
7,15,81.0,1,1
8,0,0.0,1,1
8,1,0.0,1,1
8,2,0.0,1,1
8,3,25.0,1,1
8,4,163.0,1,1
8,5,79.0,1,1
8,6,0.0,1,1
8,7,99.0,1,1
8,8,42.0,1,1
8,9,72.0,1,1
8,10,458.0,1,1
8,11,157.0,1,1
8,12,19.0,1,1
8,13,385.0,1,1
8,14,0.0,1,1
8,15,240.0,1,1
9,0,0.0,1,1
9,1,0.0,1,1
9,2,0.0,1,1
9,3,191.0,1,1
9,4,478.0,1,1
9,5,462.0,1,1
9,6,0.0,1,1
9,7,322.0,1,1
9,8,198.0,1,1
9,9,292.0,1,1
9,10,646.0,1,1
9,11,389.0,1,1
9,12,756.0,1,1
9,13,103.0,1,1
9,14,0.0,1,1
9,15,370.0,1,1
10,0,0.0,1,1
10,1,0.0,1,1
10,2,0.0,1,1
10,3,0.0,1,1
10,4,719.0,1,1
10,5,757.0,1,1
10,6,851.0,1,1
10,7,326.0,1,1
10,8,394.0,1,1
10,9,521.0,1,1
10,10,870.0,1,1
10,11,662.0,1,1
10,12,50.0,1,1
10,13,319.0,1,1
10,14,294.0,1,1
10,15,1143.0,1,1
11,0,0.0,1,1
11,1,0.0,1,1
11,2,0.0,1,1
11,3,109.0,1,1
11,4,110.0,1,1
11,5,317.0,1,1
11,6,251.0,1,1
11,7,235.0,1,1
11,8,134.0,1,1
11,9,171.0,1,1
11,10,729.0,1,1
11,11,593.0,1,1
11,12,232.0,1,1
11,13,381.0,1,1
11,14,300.0,1,1
11,15,232.0,1,1
12,0,0.0,1,1
12,1,0.0,1,1
12,2,0.0,1,1
12,3,86.0,1,1
12,4,234.0,1,1
12,5,74.0,1,1
12,6,191.0,1,1
12,7,127.0,1,1
12,8,54.0,1,1
12,9,200.0,1,1
12,10,709.0,1,1
12,11,492.0,1,1
12,12,109.0,1,1
12,13,478.0,1,1
12,14,54.0,1,1
12,15,92.0,1,1
13,0,0.0,1,1
13,1,0.0,1,1
13,2,0.0,1,1
13,3,0.0,1,1
13,4,327.0,1,1
13,5,304.0,1,1
13,6,228.0,1,1
13,7,191.0,1,1
13,8,63.0,1,1
13,9,234.0,1,1
13,10,660.0,1,1
13,11,470.0,1,1
13,12,337.0,1,1
13,13,532.0,1,1
13,14,63.0,1,1
13,15,145.0,1,1
14,0,0.0,1,1
14,1,0.0,1,1
14,2,0.0,1,1
14,3,217.0,1,1
14,4,262.0,1,1
14,5,316.0,1,1
14,6,105.0,1,1
14,7,217.0,1,1
14,8,140.0,1,1
14,9,209.0,1,1
14,10,613.0,1,1
14,11,512.0,1,1
14,12,228.0,1,1
14,13,568.0,1,1
14,14,506.0,1,1
14,15,268.0,1,1
15,0,0.0,1,1
15,1,0.0,1,1
15,2,0.0,1,1
15,3,211.0,1,1
15,4,258.0,1,1
15,5,274.0,1,1
15,6,253.0,1,1
15,7,188.0,1,1
