node_index,kavsak,kol
0,TSO,A - Universite->4 İşletme
1,TSO,B - 4 İşletme->Üniversite
2,TSO,D - Kültür Müdürlüğü->Üniversite
3,4 YOL,A - Kuzey Yönü
4,4 YOL,B - Güney Yönü
5,4 YOL,C - Doğu Yönü
6,4 YOL,D - Batı Yönü
7,MİLLET BAHÇESİ,A - Millet Bahçesi Girişi
8,MİLLET BAHÇESİ,B - Atatürk Bulvarı
9,MİLLET BAHÇESİ,C - Cumhuriyet Caddesi
10,EVCİLER,A - Hilton
11,EVCİLER,B - Stad Geliş
12,KARAYOLLARI,A - Ankara Yolu
13,KARAYOLLARI,B - Kayseri Yolu
14,KARAYOLLARI,C - Çevre Yolu
15,KARAYOLLARI,D - Sivas Merkez Yönü
