timestep,location,flow,occupy,speed
1,0,0,1,1
1,1,1,1,1
1,2,0,1,1
1,3,1,1,1
1,4,0,1,1
1,5,1,1,1
1,6,2,1,1
1,7,1,1,1
1,8,1,1,1
1,9,4,1,1
1,10,0,1,1
1,11,1,1,1
2,0,0,1,1
2,1,1,1,1
2,2,0,1,1
2,3,0,1,1
2,4,1,1,1
2,5,1,1,1
2,6,0,1,1
2,7,2,1,1
2,8,0,1,1
2,9,0,1,1
2,10,0,1,1
2,11,0,1,1
3,0,0,1,1
3,1,4,1,1
3,2,0,1,1
3,3,2,1,1
3,4,2,1,1
3,5,1,1,1
3,6,1,1,1
3,7,2,1,1
3,8,0,1,1
3,9,0,1,1
3,10,0,1,1
3,11,1,1,1
4,0,2,1,1
4,1,1,1,1
4,2,0,1,1
4,3,1,1,1
4,4,3,1,1
4,5,1,1,1
4,6,1,1,1
4,7,3,1,1
4,8,0,1,1
4,9,0,1,1
4,10,0,1,1
4,11,1,1,1
5,0,0,1,1
5,1,3,1,1
5,2,1,1,1
5,3,0,1,1
5,4,1,1,1
5,5,2,1,1
5,6,1,1,1
5,7,4,1,1
5,8,0,1,1
5,9,1,1,1
5,10,0,1,1
5,11,0,1,1
6,0,2,1,1
6,1,9,1,1
6,2,1,1,1
6,3,3,1,1
6,4,5,1,1
6,5,1,1,1
6,6,2,1,1
6,7,6,1,1
6,8,1,1,1
6,9,2,1,1
6,10,0,1,1
6,11,2,1,1
7,0,0,1,1
7,1,6,1,1
7,2,0,1,1
7,3,1,1,1
7,4,8,1,1
7,5,2,1,1
7,6,3,1,1
7,7,4,1,1
7,8,1,1,1
7,9,0,1,1
7,10,0,1,1
7,11,2,1,1
8,0,2,1,1
8,1,11,1,1
8,2,4,1,1
8,3,4,1,1
8,4,6,1,1
8,5,2,1,1
8,6,5,1,1
8,7,9,1,1
8,8,1,1,1
8,9,5,1,1
8,10,0,1,1
8,11,0,1,1
9,0,1,1,1
9,1,13,1,1
9,2,5,1,1
9,3,3,1,1
9,4,8,1,1
9,5,1,1,1
9,6,2,1,1
9,7,11,1,1
9,8,3,1,1
9,9,3,1,1
9,10,0,1,1
9,11,3,1,1
10,0,2,1,1
10,1,9,1,1
10,2,4,1,1
10,3,4,1,1
10,4,13,1,1
10,5,1,1,1
10,6,3,1,1
10,7,11,1,1
10,8,2,1,1
10,9,2,1,1
10,10,0,1,1
10,11,2,1,1
11,0,1,1,1
11,1,16,1,1
11,2,9,1,1
11,3,12,1,1
11,4,20,1,1
11,5,7,1,1
11,6,10,1,1
11,7,16,1,1
11,8,1,1,1
11,9,4,1,1
11,10,0,1,1
11,11,9,1,1
12,0,2,1,1
12,1,30,1,1
12,2,10,1,1
12,3,11,1,1
12,4,26,1,1
12,5,8,1,1
12,6,13,1,1
12,7,31,1,1
12,8,1,1,1
12,9,14,1,1
12,10,0,1,1
12,11,10,1,1
13,0,8,1,1
13,1,39,1,1
13,2,11,1,1
13,3,16,1,1
13,4,32,1,1
13,5,10,1,1
13,6,18,1,1
13,7,41,1,1
13,8,5,1,1
13,9,13,1,1
13,10,0,1,1
13,11,15,1,1
14,0,7,1,1
14,1,52,1,1
14,2,20,1,1
14,3,22,1,1
14,4,43,1,1
14,5,16,1,1
14,6,23,1,1
14,7,54,1,1
14,8,7,1,1
14,9,22,1,1
14,10,0,1,1
14,11,16,1,1
15,0,3,1,1
15,1,60,1,1
15,2,23,1,1
15,3,18,1,1
15,4,37,1,1
15,5,24,1,1
15,6,16,1,1
15,7,51,1,1
15,8,11,1,1
15,9,30,1,1
15,10,0,1,1
15,11,19,1,1
16,0,6,1,1
16,1,61,1,1
16,2,9,1,1
16,3,22,1,1
16,4,49,1,1
16,5,27,1,1
16,6,26,1,1
16,7,58,1,1
16,8,13,1,1
16,9,25,1,1
16,10,0,1,1
16,11,24,1,1
17,0,18,1,1
17,1,89,1,1
17,2,28,1,1
17,3,37,1,1
17,4,50,1,1
17,5,34,1,1
17,6,38,1,1
17,7,72,1,1
17,8,15,1,1
17,9,60,1,1
17,10,0,1,1
17,11,34,1,1
18,0,9,1,1
18,1,100,1,1
18,2,29,1,1
18,3,37,1,1
18,4,46,1,1
18,5,54,1,1
18,6,37,1,1
18,7,81,1,1
18,8,23,1,1
18,9,58,1,1
18,10,0,1,1
18,11,41,1,1
19,0,16,1,1
19,1,105,1,1
19,2,42,1,1
19,3,21,1,1
19,4,81,1,1
19,5,61,1,1
19,6,39,1,1
19,7,102,1,1
19,8,22,1,1
19,9,84,1,1
19,10,0,1,1
19,11,43,1,1
20,0,13,1,1
20,1,160,1,1
20,2,65,1,1
20,3,42,1,1
20,4,77,1,1
20,5,72,1,1
20,6,42,1,1
20,7,143,1,1
20,8,22,1,1
20,9,97,1,1
20,10,0,1,1
20,11,38,1,1
21,0,24,1,1
21,1,150,1,1
21,2,43,1,1
21,3,45,1,1
21,4,94,1,1
21,5,90,1,1
21,6,41,1,1
21,7,157,1,1
21,8,28,1,1
21,9,107,1,1
21,10,0,1,1
21,11,40,1,1
22,0,26,1,1
22,1,140,1,1
22,2,46,1,1
22,3,54,1,1
22,4,87,1,1
22,5,66,1,1
22,6,50,1,1
22,7,123,1,1
22,8,32,1,1
22,9,67,1,1
22,10,0,1,1
22,11,56,1,1
23,0,15,1,1
23,1,152,1,1
23,2,41,1,1
23,3,48,1,1
23,4,79,1,1
23,5,77,1,1
23,6,43,1,1
23,7,116,1,1
23,8,25,1,1
23,9,102,1,1
23,10,0,1,1
23,11,51,1,1
24,0,14,1,1
24,1,112,1,1
24,2,42,1,1
24,3,49,1,1
24,4,75,1,1
24,5,51,1,1
24,6,32,1,1
24,7,105,1,1
24,8,14,1,1
24,9,91,1,1
24,10,0,1,1
24,11,31,1,1
25,0,20,1,1
25,1,108,1,1
25,2,35,1,1
25,3,49,1,1
25,4,54,1,1
25,5,58,1,1
25,6,50,1,1
25,7,102,1,1
25,8,20,1,1
25,9,63,1,1
25,10,0,1,1
25,11,51,1,1
26,0,17,1,1
26,1,96,1,1
26,2,19,1,1
26,3,33,1,1
26,4,52,1,1
26,5,58,1,1
26,6,33,1,1
26,7,97,1,1
26,8,19,1,1
26,9,64,1,1
26,10,0,1,1
26,11,38,1,1
27,0,10,1,1
27,1,108,1,1
27,2,27,1,1
27,3,49,1,1
27,4,52,1,1
27,5,51,1,1
27,6,42,1,1
27,7,93,1,1
27,8,33,1,1
27,9,68,1,1
27,10,0,1,1
27,11,43,1,1
28,0,13,1,1
28,1,97,1,1
28,2,21,1,1
28,3,44,1,1
28,4,66,1,1
28,5,47,1,1
28,6,45,1,1
28,7,98,1,1
28,8,23,1,1
28,9,63,1,1
28,10,0,1,1
28,11,40,1,1
29,0,9,1,1
29,1,98,1,1
29,2,20,1,1
29,3,41,1,1
29,4,57,1,1
29,5,50,1,1
29,6,37,1,1
29,7,86,1,1
29,8,27,1,1
29,9,66,1,1
29,10,0,1,1
29,11,57,1,1
30,0,13,1,1
30,1,86,1,1
30,2,24,1,1
30,3,51,1,1
30,4,62,1,1
30,5,38,1,1
30,6,53,1,1
30,7,76,1,1
30,8,33,1,1
30,9,61,1,1
30,10,0,1,1
30,11,49,1,1
31,0,18,1,1
31,1,102,1,1
31,2,21,1,1
31,3,55,1,1
31,4,57,1,1
31,5,52,1,1
31,6,61,1,1
31,7,88,1,1
31,8,38,1,1
31,9,60,1,1
31,10,0,1,1
31,11,63,1,1
32,0,11,1,1
32,1,106,1,1
32,2,25,1,1
32,3,37,1,1
32,4,60,1,1
32,5,49,1,1
32,6,33,1,1
32,7,107,1,1
32,8,35,1,1
32,9,59,1,1
32,10,0,1,1
32,11,48,1,1
33,0,15,1,1
33,1,88,1,1
33,2,21,1,1
33,3,62,1,1
33,4,60,1,1
33,5,46,1,1
33,6,62,1,1
33,7,84,1,1
33,8,38,1,1
33,9,53,1,1
33,10,0,1,1
33,11,54,1,1
34,0,10,1,1
34,1,88,1,1
34,2,16,1,1
34,3,50,1,1
34,4,41,1,1
34,5,37,1,1
34,6,40,1,1
34,7,82,1,1
34,8,23,1,1
34,9,62,1,1
34,10,0,1,1
34,11,45,1,1
35,0,18,1,1
35,1,81,1,1
35,2,14,1,1
35,3,54,1,1
35,4,61,1,1
35,5,49,1,1
35,6,47,1,1
35,7,90,1,1
35,8,30,1,1
35,9,65,1,1
35,10,0,1,1
35,11,65,1,1
36,0,14,1,1
36,1,94,1,1
36,2,14,1,1
36,3,47,1,1
36,4,58,1,1
36,5,52,1,1
36,6,49,1,1
36,7,90,1,1
36,8,18,1,1
36,9,70,1,1
36,10,0,1,1
36,11,61,1,1
37,0,10,1,1
37,1,80,1,1
37,2,22,1,1
37,3,55,1,1
37,4,59,1,1
37,5,41,1,1
37,6,42,1,1
37,7,81,1,1
37,8,34,1,1
37,9,63,1,1
37,10,0,1,1
37,11,60,1,1
38,0,21,1,1
38,1,92,1,1
38,2,20,1,1
38,3,49,1,1
38,4,61,1,1
38,5,37,1,1
38,6,53,1,1
38,7,77,1,1
38,8,23,1,1
38,9,58,1,1
38,10,0,1,1
38,11,65,1,1
39,0,14,1,1
39,1,92,1,1
39,2,23,1,1
39,3,57,1,1
39,4,61,1,1
39,5,39,1,1
39,6,55,1,1
39,7,94,1,1
39,8,25,1,1
39,9,55,1,1
39,10,0,1,1
39,11,48,1,1
40,0,12,1,1
40,1,80,1,1
40,2,15,1,1
40,3,71,1,1
40,4,76,1,1
40,5,56,1,1
40,6,58,1,1
40,7,80,1,1
40,8,29,1,1
40,9,74,1,1
40,10,0,1,1
40,11,51,1,1
41,0,29,1,1
41,1,88,1,1
41,2,22,1,1
41,3,52,1,1
41,4,85,1,1
41,5,32,1,1
41,6,63,1,1
41,7,110,1,1
41,8,26,1,1
41,9,49,1,1
41,10,0,1,1
41,11,63,1,1
42,0,24,1,1
42,1,103,1,1
42,2,14,1,1
42,3,60,1,1
42,4,68,1,1
42,5,46,1,1
42,6,62,1,1
42,7,93,1,1
42,8,33,1,1
42,9,68,1,1
42,10,0,1,1
42,11,72,1,1
43,0,21,1,1
43,1,104,1,1
43,2,24,1,1
43,3,66,1,1
43,4,103,1,1
43,5,49,1,1
43,6,61,1,1
43,7,91,1,1
43,8,24,1,1
43,9,78,1,1
43,10,0,1,1
43,11,76,1,1
44,0,21,1,1
44,1,103,1,1
44,2,22,1,1
44,3,86,1,1
44,4,116,1,1
44,5,50,1,1
44,6,70,1,1
44,7,110,1,1
44,8,30,1,1
44,9,72,1,1
44,10,0,1,1
44,11,76,1,1
45,0,29,1,1
45,1,95,1,1
45,2,23,1,1
45,3,74,1,1
45,4,99,1,1
45,5,47,1,1
45,6,60,1,1
45,7,114,1,1
45,8,32,1,1
45,9,75,1,1
45,10,0,1,1
45,11,95,1,1
46,0,22,1,1
46,1,97,1,1
46,2,19,1,1
46,3,67,1,1
46,4,94,1,1
46,5,48,1,1
46,6,64,1,1
46,7,128,1,1
46,8,46,1,1
46,9,82,1,1
46,10,0,1,1
46,11,99,1,1
47,0,13,1,1
47,1,103,1,1
47,2,22,1,1
47,3,97,1,1
47,4,91,1,1
47,5,52,1,1
47,6,72,1,1
47,7,134,1,1
47,8,35,1,1
47,9,78,1,1
47,10,0,1,1
47,11,98,1,1
48,0,25,1,1
48,1,109,1,1
48,2,26,1,1
48,3,85,1,1
48,4,102,1,1
48,5,49,1,1
48,6,77,1,1
48,7,142,1,1
48,8,33,1,1
48,9,75,1,1
48,10,0,1,1
48,11,92,1,1
49,0,25,1,1
49,1,123,1,1
49,2,23,1,1
49,3,96,1,1
49,4,107,1,1
49,5,62,1,1
49,6,84,1,1
49,7,150,1,1
49,8,38,1,1
49,9,98,1,1
49,10,0,1,1
49,11,121,1,1
50,0,22,1,1
50,1,134,1,1
50,2,29,1,1
50,3,90,1,1
50,4,125,1,1
50,5,74,1,1
50,6,78,1,1
50,7,134,1,1
50,8,44,1,1
50,9,81,1,1
50,10,0,1,1
50,11,95,1,1
51,0,28,1,1
51,1,115,1,1
51,2,18,1,1
51,3,72,1,1
51,4,105,1,1
51,5,58,1,1
51,6,78,1,1
51,7,125,1,1
51,8,47,1,1
51,9,82,1,1
51,10,0,1,1
51,11,96,1,1
52,0,23,1,1
52,1,107,1,1
52,2,17,1,1
52,3,68,1,1
52,4,103,1,1
52,5,54,1,1
52,6,71,1,1
52,7,105,1,1
52,8,39,1,1
52,9,81,1,1
52,10,0,1,1
52,11,87,1,1
53,0,24,1,1
53,1,118,1,1
53,2,27,1,1
53,3,81,1,1
53,4,101,1,1
53,5,58,1,1
53,6,70,1,1
53,7,94,1,1
53,8,36,1,1
53,9,100,1,1
53,10,0,1,1
53,11,86,1,1
54,0,14,1,1
54,1,124,1,1
54,2,11,1,1
54,3,77,1,1
54,4,96,1,1
54,5,44,1,1
54,6,90,1,1
54,7,108,1,1
54,8,38,1,1
54,9,74,1,1
54,10,0,1,1
54,11,112,1,1
55,0,16,1,1
55,1,99,1,1
55,2,21,1,1
55,3,75,1,1
55,4,81,1,1
55,5,52,1,1
55,6,54,1,1
55,7,101,1,1
55,8,36,1,1
55,9,89,1,1
55,10,0,1,1
55,11,78,1,1
56,0,35,1,1
56,1,107,1,1
56,2,25,1,1
56,3,68,1,1
56,4,86,1,1
56,5,56,1,1
56,6,69,1,1
56,7,118,1,1
56,8,28,1,1
56,9,82,1,1
56,10,0,1,1
56,11,74,1,1
57,0,20,1,1
57,1,115,1,1
57,2,27,1,1
57,3,79,1,1
57,4,86,1,1
57,5,45,1,1
57,6,82,1,1
57,7,127,1,1
57,8,19,1,1
57,9,68,1,1
57,10,0,1,1
57,11,92,1,1
58,0,27,1,1
58,1,112,1,1
58,2,12,1,1
58,3,53,1,1
58,4,82,1,1
58,5,51,1,1
58,6,60,1,1
58,7,115,1,1
58,8,33,1,1
58,9,81,1,1
58,10,0,1,1
58,11,79,1,1
59,0,24,1,1
59,1,102,1,1
59,2,19,1,1
59,3,64,1,1
59,4,85,1,1
59,5,49,1,1
59,6,54,1,1
59,7,113,1,1
59,8,37,1,1
59,9,80,1,1
59,10,0,1,1
59,11,87,1,1
60,0,17,1,1
60,1,103,1,1
60,2,23,1,1
60,3,57,1,1
60,4,86,1,1
60,5,53,1,1
60,6,61,1,1
60,7,96,1,1
60,8,22,1,1
60,9,61,1,1
60,10,0,1,1
60,11,88,1,1
61,0,21,1,1
61,1,108,1,1
61,2,17,1,1
61,3,73,1,1
61,4,87,1,1
61,5,50,1,1
61,6,74,1,1
61,7,100,1,1
61,8,38,1,1
61,9,73,1,1
61,10,0,1,1
61,11,77,1,1
62,0,20,1,1
62,1,102,1,1
62,2,22,1,1
62,3,75,1,1
62,4,77,1,1
62,5,51,1,1
62,6,56,1,1
62,7,98,1,1
62,8,30,1,1
62,9,84,1,1
62,10,0,1,1
62,11,87,1,1
63,0,16,1,1
63,1,99,1,1
63,2,15,1,1
63,3,69,1,1
63,4,93,1,1
63,5,43,1,1
63,6,63,1,1
63,7,104,1,1
63,8,32,1,1
63,9,82,1,1
63,10,0,1,1
63,11,93,1,1
64,0,16,1,1
64,1,104,1,1
64,2,20,1,1
64,3,51,1,1
64,4,77,1,1
64,5,51,1,1
64,6,66,1,1
64,7,81,1,1
64,8,33,1,1
64,9,81,1,1
64,10,0,1,1
64,11,79,1,1
65,0,15,1,1
65,1,79,1,1
65,2,17,1,1
65,3,51,1,1
65,4,100,1,1
65,5,41,1,1
65,6,51,1,1
65,7,96,1,1
65,8,35,1,1
65,9,76,1,1
65,10,0,1,1
65,11,89,1,1
66,0,20,1,1
66,1,101,1,1
66,2,28,1,1
66,3,66,1,1
66,4,82,1,1
66,5,51,1,1
66,6,63,1,1
66,7,108,1,1
66,8,32,1,1
66,9,79,1,1
66,10,0,1,1
66,11,98,1,1
67,0,19,1,1
67,1,85,1,1
67,2,16,1,1
67,3,55,1,1
67,4,113,1,1
67,5,42,1,1
67,6,79,1,1
67,7,91,1,1
67,8,42,1,1
67,9,76,1,1
67,10,0,1,1
67,11,105,1,1
68,0,16,1,1
68,1,99,1,1
68,2,15,1,1
68,3,72,1,1
68,4,102,1,1
68,5,54,1,1
68,6,61,1,1
68,7,110,1,1
68,8,29,1,1
68,9,75,1,1
68,10,0,1,1
68,11,90,1,1
69,0,11,1,1
69,1,71,1,1
69,2,13,1,1
69,3,78,1,1
69,4,86,1,1
69,5,40,1,1
69,6,66,1,1
69,7,109,1,1
69,8,29,1,1
69,9,67,1,1
69,10,0,1,1
69,11,93,1,1
70,0,26,1,1
70,1,98,1,1
70,2,16,1,1
70,3,61,1,1
70,4,103,1,1
70,5,54,1,1
70,6,62,1,1
70,7,101,1,1
70,8,36,1,1
70,9,68,1,1
70,10,0,1,1
70,11,78,1,1
71,0,14,1,1
71,1,98,1,1
71,2,25,1,1
71,3,88,1,1
71,4,101,1,1
71,5,55,1,1
71,6,80,1,1
71,7,103,1,1
71,8,41,1,1
71,9,69,1,1
71,10,0,1,1
71,11,98,1,1
72,0,25,1,1
72,1,85,1,1
72,2,24,1,1
72,3,81,1,1
72,4,93,1,1
72,5,54,1,1
72,6,79,1,1
72,7,110,1,1
72,8,25,1,1
72,9,72,1,1
72,10,0,1,1
72,11,108,1,1
73,0,17,1,1
73,1,97,1,1
73,2,26,1,1
73,3,76,1,1
73,4,107,1,1
73,5,54,1,1
73,6,83,1,1
73,7,106,1,1
73,8,40,1,1
73,9,66,1,1
73,10,0,1,1
73,11,95,1,1
74,0,22,1,1
74,1,96,1,1
74,2,18,1,1
74,3,82,1,1
74,4,108,1,1
74,5,52,1,1
74,6,77,1,1
74,7,117,1,1
74,8,37,1,1
74,9,76,1,1
74,10,0,1,1
74,11,111,1,1
75,0,25,1,1
75,1,101,1,1
75,2,17,1,1
75,3,106,1,1
75,4,112,1,1
75,5,50,1,1
75,6,107,1,1
75,7,98,1,1
75,8,32,1,1
75,9,66,1,1
75,10,0,1,1
75,11,118,1,1
76,0,29,1,1
76,1,95,1,1
76,2,14,1,1
76,3,87,1,1
76,4,114,1,1
76,5,51,1,1
76,6,95,1,1
76,7,117,1,1
76,8,41,1,1
76,9,87,1,1
76,10,0,1,1
76,11,116,1,1
77,0,30,1,1
77,1,98,1,1
77,2,16,1,1
77,3,82,1,1
77,4,110,1,1
77,5,50,1,1
77,6,81,1,1
77,7,118,1,1
77,8,46,1,1
77,9,88,1,1
77,10,0,1,1
77,11,105,1,1
78,0,29,1,1
78,1,98,1,1
78,2,26,1,1
78,3,80,1,1
78,4,106,1,1
78,5,56,1,1
78,6,85,1,1
78,7,107,1,1
78,8,50,1,1
78,9,78,1,1
78,10,0,1,1
78,11,110,1,1
79,0,35,1,1
79,1,94,1,1
79,2,26,1,1
79,3,100,1,1
79,4,112,1,1
79,5,44,1,1
79,6,90,1,1
79,7,117,1,1
79,8,45,1,1
79,9,72,1,1
79,10,0,1,1
79,11,108,1,1
80,0,34,1,1
80,1,101,1,1
80,2,20,1,1
80,3,81,1,1
80,4,124,1,1
80,5,47,1,1
80,6,89,1,1
80,7,127,1,1
80,8,34,1,1
80,9,69,1,1
80,10,0,1,1
80,11,106,1,1
81,0,35,1,1
81,1,95,1,1
81,2,25,1,1
81,3,100,1,1
81,4,128,1,1
81,5,49,1,1
81,6,85,1,1
81,7,104,1,1
81,8,39,1,1
81,9,67,1,1
81,10,0,1,1
81,11,115,1,1
82,0,40,1,1
82,1,104,1,1
82,2,23,1,1
82,3,93,1,1
82,4,120,1,1
82,5,51,1,1
82,6,103,1,1
82,7,100,1,1
82,8,36,1,1
82,9,64,1,1
82,10,0,1,1
82,11,116,1,1
83,0,25,1,1
83,1,85,1,1
83,2,17,1,1
83,3,93,1,1
83,4,135,1,1
83,5,43,1,1
83,6,85,1,1
83,7,101,1,1
83,8,45,1,1
83,9,62,1,1
83,10,0,1,1
83,11,97,1,1
84,0,18,1,1
