timestep,location,flow,occupy,speed
1,0,17,1,1
1,1,8,1,1
1,2,15,1,1
1,3,50,1,1
1,4,123,1,1
1,5,0,1,1
1,6,0,1,1
1,7,10,1,1
1,8,41,1,1
1,9,92,1,1
1,10,149,1,1
1,11,41,1,1
1,12,104,1,1
1,13,0,1,1
1,14,52,1,1
1,15,113,1,1
2,0,73,1,1
2,1,31,1,1
2,2,24,1,1
2,3,81,1,1
2,4,164,1,1
2,5,0,1,1
2,6,0,1,1
2,7,5,1,1
2,8,38,1,1
2,9,82,1,1
2,10,210,1,1
2,11,54,1,1
2,12,63,1,1
2,13,235,1,1
2,14,189,1,1
2,15,364,1,1
3,0,91,1,1
3,1,75,1,1
3,2,32,1,1
3,3,294,1,1
3,4,245,1,1
3,5,314,1,1
3,6,0,1,1
3,7,289,1,1
3,8,149,1,1
3,9,274,1,1
3,10,251,1,1
3,11,153,1,1
3,12,683,1,1
3,13,327,1,1
3,14,192,1,1
3,15,969,1,1
4,0,160,1,1
4,1,86,1,1
4,2,58,1,1
4,3,0,1,1
4,4,539,1,1
4,5,285,1,1
4,6,301,1,1
4,7,0,1,1
4,8,123,1,1
4,9,302,1,1
4,10,381,1,1
4,11,232,1,1
4,12,207,1,1
4,13,463,1,1
4,14,445,1,1
4,15,791,1,1
5,0,227,1,1
5,1,119,1,1
5,2,48,1,1
5,3,11,1,1
5,4,9,1,1
5,5,165,1,1
5,6,140,1,1
5,7,115,1,1
5,8,37,1,1
5,9,66,1,1
5,10,0,1,1
5,11,182,1,1
5,12,188,1,1
5,13,85,1,1
5,14,187,1,1
5,15,70,1,1
6,0,347,1,1
6,1,175,1,1
6,2,87,1,1
6,3,177,1,1
6,4,217,1,1
6,5,32,1,1
6,6,166,1,1
6,7,116,1,1
6,8,62,1,1
6,9,267,1,1
6,10,378,1,1
6,11,335,1,1
6,12,277,1,1
6,13,361,1,1
6,14,365,1,1
6,15,343,1,1
7,0,418,1,1
7,1,197,1,1
7,2,94,1,1
7,3,128,1,1
7,4,280,1,1
7,5,203,1,1
7,6,362,1,1
7,7,135,1,1
7,8,85,1,1
7,9,315,1,1
7,10,389,1,1
7,11,403,1,1
7,12,456,1,1
7,13,527,1,1
7,14,438,1,1
7,15,640,1,1
8,0,607,1,1
8,1,236,1,1
8,2,138,1,1
8,3,215,1,1
8,4,277,1,1
8,5,316,1,1
8,6,155,1,1
8,7,253,1,1
8,8,183,1,1
8,9,226,1,1
8,10,367,1,1
8,11,470,1,1
8,12,423,1,1
8,13,670,1,1
8,14,642,1,1
8,15,484,1,1
9,0,643,1,1
9,1,266,1,1
9,2,200,1,1
9,3,332,1,1
9,4,283,1,1
9,5,294,1,1
9,6,379,1,1
9,7,259,1,1
9,8,188,1,1
9,9,492,1,1
9,10,460,1,1
9,11,490,1,1
9,12,667,1,1
9,13,608,1,1
9,14,606,1,1
9,15,629,1,1
10,0,675,1,1
10,1,382,1,1
10,2,119,1,1
10,3,299,1,1
10,4,252,1,1
10,5,194,1,1
10,6,183,1,1
10,7,116,1,1
10,8,158,1,1
10,9,323,1,1
10,10,408,1,1
10,11,456,1,1
10,12,506,1,1
10,13,671,1,1
10,14,681,1,1
10,15,629,1,1
11,0,1209,1,1
11,1,639,1,1
11,2,185,1,1
11,3,262,1,1
11,4,122,1,1
11,5,364,1,1
11,6,267,1,1
11,7,395,1,1
11,8,182,1,1
11,9,195,1,1
11,10,310,1,1
11,11,548,1,1
11,12,393,1,1
11,13,440,1,1
11,14,655,1,1
11,15,462,1,1
12,0,857,1,1
12,1,366,1,1
12,2,105,1,1
12,3,14,1,1
12,4,24,1,1
12,5,739,1,1
12,6,221,1,1
12,7,536,1,1
12,8,410,1,1
12,9,0,1,1
12,10,201,1,1
12,11,410,1,1
12,12,281,1,1
12,13,201,1,1
12,14,262,1,1
12,15,0,1,1
13,0,790,1,1
13,1,421,1,1
13,2,168,1,1
13,3,344,1,1
13,4,15,1,1
13,5,1147,1,1
13,6,557,1,1
13,7,278,1,1
13,8,394,1,1
13,9,42,1,1
13,10,489,1,1
13,11,490,1,1
13,12,245,1,1
13,13,273,1,1
13,14,915,1,1
13,15,14,1,1
14,0,792,1,1
14,1,259,1,1
14,2,82,1,1
14,3,0,1,1
14,4,0,1,1
14,5,311,1,1
14,6,425,1,1
14,7,417,1,1
14,8,157,1,1
14,9,100,1,1
14,10,381,1,1
14,11,398,1,1
14,12,260,1,1
14,13,76,1,1
14,14,157,1,1
14,15,0,1,1
15,0,702,1,1
15,1,289,1,1
15,2,65,1,1
15,3,255,1,1
15,4,166,1,1
15,5,333,1,1
15,6,244,1,1
15,7,190,1,1
15,8,139,1,1
15,9,247,1,1
15,10,245,1,1
15,11,573,1,1
15,12,394,1,1
15,13,548,1,1
